dish_id,food_id,grams,note
MNMN-SALAD-RONG-NHO-DAU-HU,55,100,Đậu hũ non	100g
MNMN-SALAD-RONG-NHO-DAU-HU,76,70,Xà lách lolo	70gr
MNMN-SALAD-RONG-NHO-DAU-HU,76,70,Xà lách romain	70gr
MNMN-SALAD-RONG-NHO-DAU-HU,85,60,Cà chua bi	60g
MNMN-SALAD-RONG-NHO-DAU-HU,95,20,Dưa leo baby	20g
MNMN-KHOAI-TAY-LAC-LAZY,12,200,Khoai tây đông lạnh 200g (chọn dạng múi cau)
MNMN-KHOAI-TAY-NUONG-PHO-MAI-2,12,300,Khoai tây		 300g
MNMN-TOM-CHIEN-XOT-MAYO,48,200,Tôm sú đông lạnh 200g
MNMN-TOM-CHIEN-XOT-MAYO,76,100,Xà lách lolo 100g
MNMN-TOM-CHIEN-XOT-MAYO,16,40,Bột mì 40g
