dish_id,food_id,grams,note
VFR-9,102,400,"Đùi ếch 400g, Ớt Đà Lạt xanh, đỏ, vàng 3 trái mỗi loại, Hành tây tím 1/2 củ, Gừng cắt nhuyễn 15g, Tỏi băm 1 muỗng, Củ kiệu chua cắt sợi 20g, Nước củ kiệu 2 muỗng"
VFR-15,79,500,"Mì nưa 2 gói 500gr, Kim chi Hàn Quốc 300gr lấy 2 muỗng nước kim chi, Thịt bò phi lê cắt lát mỏng 200gr, Bông hẹ 50g, Hành lá, ngò rí 30g, Hành tỏi băm 1 muỗng"
VFR-17,12,500,"Thịt ba chỉ rút sườn 500g, Cam mỹ 1 trái, Khoai tây 150g khoảng 1 củ, Hành tỏi băm 1 muỗng, Ớt sừng băm 2 muỗng, Hành lá 1 cây"
VFR-24,121,300,"Mit non luôc 300g, Thit ba roi 200g, Rau răm 20g, Hanh tây 1/2 cu, Ơt sưng 2 qua, Chanh 1 qua, Đâu phộng rang gia bê 50g, Toi xay 2 muỗng"
VFR-31,85,1000,"Cá tai tượng 1 con cỡ 1kg, Xốt ớt sambal 2 muỗng, Hành tím băm 2 muỗng, Tỏi băm 1 muỗng, Gừng băm 1 muỗng, Cà chua băm 4 muỗng, Tôm khô 1 muỗng, Ngò rí 2 muỗng, Tắc 2 quả"
VFR-44,45,400,Phi lê cá hồi : 400g
VFR-44,12,400,Khoai tây : 400g
VFR-51,4030,100,"Mè trắng rửa sạch 100g, Bơ 30g, Bột mỳ 3 muỗng, Kem tươi 150g, Đường 4 muỗng, Vani 1 ống, Mứt dâu tây 50g, Kẹo màu trang trí 1 ít"
VFR-64,101,700,"1 con cá điêu hồng 600 - 700g, Ngưu bàng cắt lát xéo 100g, Cà rốt cắt lát 10 lát, Nấm đông cô Nhật 2 tai, Hành tây 1/2 củ lớn, Gừng sợi 1 muỗng, Nước gừng 1 muỗng"
VFR-84,11,100,"Khoai mỡ tím 100g, Khoai lang vàng 200g, Khoai mì 400g, Đậu xanh cà 100g, Dừa nạo chọn phần trắng 1kg, Lá dứa 4-5 cây, Đường phèn 300g, Màu củ dền và màu lá dứa mỗi loại 2 muỗng"
VFR-86,70,250,"Thịt ba chỉ 250g, Thịt bò phi lê mềm 150g, Đậu hũ trắng 1 muỗngiếng, Cải thảo 350g, Nấm kim châm 350g, Nấm linh chi nâu 150g, Rau tần ô 200g"
VFR-88,25,400,Thịt vịt: 400g
VFR-88,4101,150,Củ cải muối: 150g
VFR-88,86,50,Cà rốt: 50g
VFR-88,152,30,Gừng: 30g
VFR-93,49,500,Cua đồng làm sạch: 500g
VFR-93,3015,300,Cải xoong: 300g
VFR-93,100,50,Nấm rơm: 50g
VFR-94,94,300,"Chả chay 300g, Khổ qua bỏ hạt 200g, Cà rốt 100g, Hành boaro 50g, Ớt hiểm 2 trái, Tiêu xanh 2 nhánh"
VFR-102,58,300,"Phi lê cá cam 300g, Tôm khô 20g, Bánh phồng tôm 10 cái, Gạo nếp rang 50g, Đậu xanh cà vỏ rang 50g, Lá lốt 30g, Sả 2 cây, Ớt sừng 1 quả, Nước cốt chanh 1 muỗng"
VFR-113,121,400,"Chân gà chẻ đôi 400g, Tắc trái 100g, Sả cây 8 cây, Ớt sừng 3 trái, Lá chanh 4 lá"
VFR-126,85,300,"Thịt đùi ếch 300g, Lá giang 50g, Cà chua 1 quả, Rau om, ngò gai 1/2 chén, Ớt sừng 1 trái, Sả cây 2 cây, Sả băm, ớt hiểm băm 1 muỗng, 1 quả, Nước dùng 1 lít"
VFR-131,95,350,"Cá gáy phi lê 350g, Sả băm 4 muỗng, Ớt băm 1 muỗng, Nước cốt chanh 1 muỗng, Lá chúc lá chanh thái 5 lá, Dưa leo ăn kèm"
VFR-136,4019,150,"Củ sen non 1 củ khoảng150g, Hạt sen tươi 100g, Mè đen 1 muỗng, Húng lũi cắt nhỏ 1 muỗng, Nước cốt chanh 1 muỗng, Tỏi, ớt băm 1 muỗng, Húng lũi băm nhỏ 1/2 muỗng, Tỏi phi 1 muỗng, Tương ớt, tương cà, dầu ăn"
VFR-143,4022,400,"Cá hồi 400g, Măng tây 100g, Ớt sừng 1 trái, Thì là 1 cây, Đầu hành lá, ớt hiểm băm, gừng"
VFR-152,3047,200,"Tôm sú 200g, Cà chua bi 150g, Rau cần nước 1 bó, Lòng trắng trứng gà ta 1 quả, Mỡ nước 2 muỗng, Giò sống 50g, Hành tím 3 củ, Hành lá 1 ít"
VFR-153,152,300,"Thịt ba chỉ 300g, Sả cây thường 2 cây, Gừng củ 1 muỗngiếng nhỏ, Hành tím củ 1 củ, Ớt sừng 1 trái, Ngò gai 1 muỗng, Tỏi 5 tép"
VFR-155,58,80,"Lá hoành thánh 20 lá, Đậu xanh cà vỏ hấp chín 80g, Nấm mèo 3 tai nhỏ, Củ sắn bào mỏng vắt ráo 30g, Thịt nạc dăm xay 30g, Tôm tươi bóc vỏ 30g"
