dish_id,name_vi,region,serving_g,verified_by,note
VFR-9,Ếch xào chua ngọt,,400.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=9). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-15,Mì nưa xào kim chi thịt bò,,500.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=15). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-17,Thịt ba chỉ kho cam,,500.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=17). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-24,Gỏi mít thịt ba chỉ,,300.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=24). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-31,Cá tai tượng chiên xốt sambal,,1000.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=31). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-44,Cá hồi ngũ sắc,,800.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=44). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-51,PanCake kem mè,,100.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=51). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-64,Cá hấp ngưu bàng,,700.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=64). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-84,Chè bà ba,,100.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=84). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
VFR-86,Lẩu kim chi,,250.0,pending,"Nguon: ViFoodRec (github.com/QuocAn55/DS300, PACLIC 2024, ViFoodRec food_id=86). CHUA CO LICENSE CHINH THUC tren repo goc (kiem tra 2026-08-09) — CHI dung ten mon + danh sach nguyen lieu (van ban), R2/phap ly CAN XAC NHAN truoc khi dung cho san pham that. Gram tu parse tu van ban nguyen lieu goc, KHONG lay so dinh duong cua ViFoodRec (RULE-1/RULE-2). R2 CAN DUYET gram truoc khi dung cho benh nhan."
