vifoodrec_food_id,name_vi,reason,detail
0,Mực ống hấp củ đậu,unparsed_main_ingredient,Gốc ngò: 5 cây
1,Chả giò ngũ vị,unparsed_main_ingredient,Da bò bía tươi 20 muỗngiếng; Lòng đỏ trứng vịt muối 2 cái; Trứng gà 2 quả; Cọng cần cắt nhuyễn 2 muỗng
2,Canh ba màu,unparsed_main_ingredient,Đậu hũ non : 1 hộp
3,Tàu hủ ky chiên xả ớt,unparsed_main_ingredient,Chao trắng: 1 hũ; Bột mì: ½ chén
4,Gỏi ngó sen tôm thịt,unparsed_main_ingredient,Cần tàu 5 nhánh; Đậu phộng rang; Rau răm
5,Bánh tráng cuốn xốt Mayo,unparsed_main_ingredient,Bánh tráng vuông 10 cái; Xoài keo 1 quả; Trứng cút luộc bóc vỏ 10 quả; Mỡ hành 1/2 chén
6,Ốc hương xào củ dừa,unparsed_main_ingredient,"Cần tàu: 1/2 chén; RAU NÊM: Hành tỏi băm, ớt sừng cắt sợi"
7,Cơm hến trộn,low_food_id_cover,"cover=0.00 thieu: Cơm nguội 2 chén, Thịt hến  , Bạc hà 1 cây, Khế 1 quả, Hoa chuối bào 30g, Giá sống 100g"
8,Ếch kho măng lá quế,unparsed_main_ingredient,Nghệ tươi: 1 muỗng; Nước dừa tươi : 1 chén; Dầu điều : 1 muỗng
10,Lẩu riêu bắp bò,unparsed_main_ingredient,RAU NÊM: Hành lá
11,Bánh rán hương mùa hè,unparsed_main_ingredient,Vỏ chanh mài: 1 muỗng; Xoài: 1/2 trái; Nho: 5 trái; Dâu: 5 trái
12,Măng trúc kho ruốc Huế,unparsed_main_ingredient,Mắm ruốc Huế 1 muỗng; Sả băm 1 muỗng; Nước dừa tươi 1 chén
13,Đậu hũ xốt nấm,unparsed_main_ingredient,"Đậu hũ chiên: 2 muỗngiếng; Bột năng pha loãng: 1 muỗng, Bơ lạt, dầu ăn, dầu mè, Boaro, ớt, Bột ngọt AJI-NO-MOTO, Nước tương Phú Sĩ"
14,Bánh giò trứng cút,unparsed_main_ingredient,"Dụng cụ: Khuôn bánh giò, Bột ngọt AJI-NO-MOTO, Hạt nêm Aji-ngon Heo"
16,Chả lụa kho trứng cút,unparsed_main_ingredient,Su hào: 1 củ; Trứng cút: 10 cái; Sả: 2 cây
18,Canh sườn nha đam,unparsed_main_ingredient,RAU NÊM: hành ngò
19,Cháo hàu sữa đậu xanh,unparsed_main_ingredient,Nước dùng 2 lít; rau răm; gừng băm
20,Lươn nướng lá dứa,unparsed_main_ingredient,Nghệ băm 1 muỗng; Nước nghệ 1 muỗng; Lá dứa 2 cây; sả
21,Rau củ kho mía,unparsed_main_ingredient,ngu vị hương; nước dừa tươi; nước màu dừa
22,Lươn kho củ nén,unparsed_main_ingredient,RAU NÊM: Ngò gai
23,Thịt bê xào cải rổ,unparsed_main_ingredient,Cà rốt 1/3 củ; mù tạt vàng
25,Lẩu ốc thả,unparsed_main_ingredient,"Rau ăn lẩu: rau muống cọng, hoa chuối bào, kèo nèo, nấm kim châm, bún, Đường, muối, tiêu, nước mắm, dầu ăn, Bột ngọt AJI-NO-MOTO, Hạt nêm Aji-ngon Heo, Giấm gạo lên men Ajinomoto"
26,Canh thơm cá ngừ,unparsed_main_ingredient,Thơm 1/4 trái; Cà chua 2 trái; Sả cây; dầu điều
27,Tôm kho tàu,unparsed_main_ingredient,"Dừa tươi: 1 trai, Chanh, hành lá, tỏi băm, Dầu ăn, dầu điều, Đường, muối, tiêu, nước mắm, Hạt nêm Aji-ngon Heo"
28,Canh gà hạt lựu,unparsed_main_ingredient,Cà rốt 1/2 củ
29,Mì ý xốt nấm,unparsed_main_ingredient,"Rượu vang trắng: 1 muỗng, Tỏi băm nhuyễn, ớt cắt sợi, Dầu OLIU, tiêu xay, Nước tương Phú Sĩ, Xốt Mayonnaise Aji-mayo Vị Nguyên Bản, Hạt nêm Aji-ngon Heo"
30,Súp óc heo tóc tiên,unparsed_main_ingredient,RAU NÊM: Ngò rí
32,Giò heo hon,unparsed_main_ingredient,"Giò heo trước căt khoanh: 1/2 cái; Nước dừa nước hoặc xiêm: 0, 5 lít; Quế cây: 1 cây 6cm; Tai vị: 1/2 tai"
33,Trứng ốp la ớt chuông,no_metric_qty,khong co nguyen lieu nao ghi don vi g/kg/ml/l parse duoc
34,Bánh ít trần,unparsed_main_ingredient,Nấm mèo: 3 tai
35,Canh ba rọi cuộn nấm,unparsed_main_ingredient,Bí ngòi 1 trái; Cà rốt 1/2 củ
36,Trà sữa hoa đậu biếc,no_metric_qty,khong co nguyen lieu nao ghi don vi g/kg/ml/l parse duoc
37,Váng đậu cuộn rau củ chiên,unparsed_main_ingredient,"Làm hồ bột năng: pha 1 muỗng bột năng với 1/2 chén nước, đun sôi hỗn hợp này sẽ có hồ bột năng., Bột ngọt AJI-NO-MOTO, Hạt nêm Aji-ngon Nấm, Nước tương Phú Sĩ"
38,Bún giò heo nấu giấm,unparsed_main_ingredient,"Cà chua: 2 trái; Cải trắng: 1 củ; Cà rốt: 1 củ, Hành tím băm, hành ngò, rau xà lách, rau thơm, giá, Tiêu, đường, màu dầu điều, Bột ngọt AJI-NO-MOTO, Hạt nêm Aji-ngon Heo, Giấm gạo lên men Ajinomoto"
39,Mì xào giòn chay,unparsed_main_ingredient,Mì chiên giòn: 1 khoanh; Nấm đông cô khô: 3 tai; Nấm mèo: 3 tai; Cà chua: 1 trái
40,Lẩu cháo chim cút hạt sen,unparsed_main_ingredient,Chim cút: 3 con
41,Pancake khoai lang mật ong,unparsed_main_ingredient,"RAU NÊM: húng lủi; Dụng cụ: túi tam giác bắt kem, Bột bánh rán pha sẵn vị truyền thống"
42,Cá chiên xốt nấm,unparsed_main_ingredient,RAU NÊM: Xà lách xoong
43,Bí ngòi hấp chả chay,unparsed_main_ingredient,RAU NÊM: Ngò rí
45,Má heo nướng táo,unparsed_main_ingredient,Nước táo hộp: 200 muỗngl; Tương cà Heinz: 2 muỗng; Bột ớt Hàn Quốc: 1 muỗng; Sữa đặc có đường: 1 muỗng
46,Mì Quảng xào lươn,unparsed_main_ingredient,Bột nghệ 1 muỗng; Bánh đa nướng 1 cái; Củ nén; đậu phộng rang giã dập
47,Mít non kho nấm,unparsed_main_ingredient,Boaro: 1 cây; Đậu hũ trắng: 1 muỗngiếng; Sả băm: 1 muỗng
48,Rau củ kho chay,unparsed_main_ingredient,"Thơm: 1/4 trái; Cà rốt: 1/3 củ; Poa-rô: 1 khúc, Dầu ăn, đường, Hạt nêm Aji-ngon Nấm, Bột ngọt AJI-NO-MOTO, Nước tương Phú Sĩ"
49,Hủ tíu chay,unparsed_main_ingredient,"Cải thảo: 4 lá; Cà rốt: 1 củ Hành; boaro: 1/2 cây; Cần tàu: 2 cọng, Giá"
50,Cá cuộn tôm trứng cút,unparsed_main_ingredient,Trứng cút 20 quả; Xà lách; Xốt Mayonnaise Aji-mayo Vị Nguyên Bản
52,Chả bắp,unparsed_main_ingredient,"Dừa tươi: 1/3 chén; Kiệu chua: 3 củ; Bột năng: 1 muỗng, Đậu phộng rang, mè rang, Muối, tiêu, đường, dầu ăn, Xốt tương LISA, Bột ngọt AJI-NO-MOTO, Giấm gạo lên men Ajinomoto"
53,Mỳ Ý xốt kem,unparsed_main_ingredient,Kem tươi 100 muỗngl; rượu vang trắng; dầu olive; Xốt Mayonnaise Aji-mayo Vị Nguyên Bản
