id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,is_estimated
8,Mì ăn liền,mì tôm,ngũ cốc,,,,,,,,,,,,,,,gluten,,,FALSE
9,Bánh cuốn,,ngũ cốc,,,,,,,,,,,,,,,,,,FALSE
14,Sắn luộc,khoai mì|khoai mì luộc,ngũ cốc,,,,,,,,,,,,,,,,,,FALSE
23,"Thịt gà (ức, bỏ da)",,thịt,,,,,,,,,,174.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Chicken breast, raw [USA]",,,,,,,FALSE
29,Giò lụa,chả lụa,thịt,,,,,,,,,,,,,,,,,,FALSE
30,Chả quế,,thịt,,,,,,,,,,,,,,,,,,FALSE
37,Cá lóc,cá quả|cá chuối,thủy sản,,,,,,,,,,,,,,,cá,,,FALSE
46,Cá bống,,thủy sản,,,,,,,,,,,,,,,cá,,,FALSE
54,Cá khô,,thủy sản,,,,,,,,,,,,,,,cá,,,FALSE
63,Chao,,đậu,,,,,,,,,,,,,,,đậu nành,,,FALSE
64,Tương hột,,đậu,,,,,,,,,,,,,,,đậu nành,,,FALSE
66,Rau ngót,bồ ngót,rau lá,,,,,,,,,,,,,,,,,,FALSE
73,Rau mồng tơi,,rau lá,,,,,,,,,,,,,,,,,,FALSE
77,Rau má,,rau lá,,,,,,,,,,,,,,,,,,FALSE
80,Tía tô,,rau lá,,,,,,,,,,,,,,,,,,FALSE
81,Kinh giới,,rau lá,,,,,,,,,,,,,,,,,,FALSE
83,Rau răm,,rau lá,,,,,,,,,,,,,,,,,,FALSE
90,Bí đao,bí xanh,rau củ,,,,,,,,,,,,,,,,,,FALSE
124,Sữa tươi có đường,,sữa,,,,,,,,,,,,,,,sữa,,,FALSE
145,Mắm nêm,,gia vị,,,,,,,,,,,,,,,cá,,,FALSE
146,Mắm ruốc,,gia vị,,,,,,,,,,,,,,,hải sản,,,FALSE
150,Đường thốt nốt,,gia vị,,,,,,,,,,,,,,,,,,FALSE
1105900,Bánh bao nhân thịt,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 01009, tr.24 - PDF thieu: na_mg, k_mg",FALSE
1105901,Bánh đa nem,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 01010, tr.24 - PDF thieu: na_mg, k_mg",FALSE
1105902,Bánh đúc,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 01011, tr.24 - PDF thieu: na_mg, k_mg",FALSE
1105903,Bánh mỳ,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 01012, tr.24 - PDF thieu: na_mg, k_mg",FALSE
1105904,Bánh phở,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 01013, tr.24 - PDF thieu: fat_g, fiber_g",FALSE
1105905,Bánh quẩy,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 01014, tr.26 - PDF thieu: na_mg, k_mg",FALSE
1105906,Bún,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 01020, tr.26 - PDF thieu: fat_g, na_mg, k_mg",FALSE
1105907,Cốm,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 01021, tr.26 - PDF thieu: na_mg, k_mg",FALSE
1105908,Mỳ sợi,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 01022, tr.26 - PDF thieu: na_mg, k_mg",FALSE
1105909,Ngô nếp luộc,bắp nếp luộc,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 01023, tr.26 - PDF thieu: na_mg, k_mg",FALSE
1105910,Củ ấu,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 02001, tr.30 - PDF thieu: na_mg, k_mg",FALSE
1105913,Củ sắn dây,củ khoai mì dây,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 02005, tr.30 - PDF thieu: na_mg, k_mg",FALSE
1105914,Củ súng khô (đã bỏ vỏ),,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 02006, tr.30 - PDF thieu: na_mg, k_mg",FALSE
1105915,Củ từ,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 02007, tr.30 - PDF thieu: fat_g",FALSE
1105916,Khoai nước,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 02011, tr.30 - PDF thieu: na_mg, k_mg",FALSE
1105917,Khoai riềng,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 02012, tr.30 - PDF thieu: fat_g, na_mg, k_mg",FALSE
1105919,Bột khoai lang,,,,,,,,,,,,,,,,,,,"[CHUA DU LIEU - can DAT-13] NIN 2017, ma 02017, tr.32 - PDF thieu: na_mg, k_mg",FALSE
