id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,is_estimated,match_confidence,nin_name
1,Gạo tẻ (sống),gạo trắng,ngũ cốc,347,8.1,75.7,1.3,0.7,,5,202,108,,,,,,,NIN,NIN Bảng TPTP VN (mã 1003),FALSE,subset,"Gạo, trắng, tẻ, giã tay, sống"
2,Cơm tẻ,cơm trắng,ngũ cốc,133.46,3.12,29.12,0.5,0.27,,1.92,77.69,41.54,,,109,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Jasmine rice long grain; glucose=100, n=12",,estimated,Cơm chín ước tính từ gạo tẻ sống (NIN 1003) × 1/2.6 (hệ số nở khi nấu),TRUE,estimated,"(ước tính từ Gạo, trắng, tẻ, giã tay, sống)"
3,Gạo lứt,gạo nâu,ngũ cốc,359,7.5,76.18,2.68,3.4,,5,202,246,,,65,Atkinson2021,"Atkinson FS et al. 2021, Am J Clin Nutr 114:1625-1632, tr.1629 — trung bình brown rice = 65; glucose=100",,NIN,NIN Bảng TPTP VN (mã 1005),FALSE,subset,"Gạo, tẻ, chưa xát (gạo lứt), sống"
4,Bún tươi,,ngũ cốc,110,2.0,25.0,0.2,0.5,,5,10,30,,,40,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Rice noodles, fresh; glucose=100, n=12",,estimated,"Ước tính bún gạo tươi (tham chiếu USDA 'Rice noodles, cooked')",TRUE,manual,
5,Bánh phở tươi,,ngũ cốc,110,2.0,25.0,0.2,0.5,,5,10,30,,,40,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Rice noodles, fresh; glucose=100, n=12",,estimated,"Ước tính bánh phở gạo tươi (tham chiếu USDA 'Rice noodles, cooked')",TRUE,manual,
6,Miến dong,,ngũ cốc,,,,,,,,,,,,39,estimated,Ước tính từ Chan HMS et al. 2001 (Mung bean noodles GI 39),,,,FALSE,subset-nin-thiếu-khoáng,"Miến dong, khô"
7,Bánh mì,,ngũ cốc,,,,,,,,,,,,59,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#235-236) — White bread, UK/USA 2006-2011, GI 59-60; glucose=100",gluten,,,FALSE,subset-nin-thiếu-khoáng,"Bánh mì, vuông, ngọt"
8,Mì ăn liền,mì tôm,ngũ cốc,,,,,,,,,,,,,,,gluten,,,FALSE,override-nin-thiếu-khoáng,"Mỳ  ăn liền, lúa mì "
9,Bánh cuốn,,ngũ cốc,,,,,,,,,,,,,,,,,,FALSE,exact-nin-thiếu-khoáng,Bánh cuốn
10,Xôi trắng,,ngũ cốc,183.16,4.53,39.53,0.79,0.32,,1.58,148.42,51.58,,,94,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Glutinous rice; glucose=100, n=12",,estimated,Xôi ước tính từ gạo nếp sống (NIN 1001) × 1/1.9 (nở ít hơn cơm),TRUE,estimated,"(ước tính từ Gạo, trắng, nếp cái, sống)"
11,Khoai lang,,ngũ cốc,124,0.8,29.8,0.2,1.3,,31,210,49.4,,,77,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 — Sweet potato (kumara), cooking method NS, New Zealand 2000, GI 77±12; glucose=100",,NIN,NIN Bảng TPTP VN (mã 2008),FALSE,subset,"Khoai lang, tươi"
12,Khoai tây,,ngũ cốc,96,2,21.93,0.07,1,,7,396,50,,,73,Atkinson2021,"Atkinson FS et al. 2021, Am J Clin Nutr 114:1625-1632, tr.1628 — boiled potatoes = 73; glucose=100",,NIN,NIN Bảng TPTP VN (mã 2014),FALSE,subset,"Khoai tây, tươi"
13,Khoai môn,,ngũ cốc,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Khoai môn, tươi"
14,Sắn luộc,khoai mì,ngũ cốc,,,,,,,,,,,,,,,,,,FALSE,MISS,
15,Ngô luộc,bắp,ngũ cốc,,,,,,,,,,,,52,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#558-559) — Sweet corn, cooked, trung bình (51 AUS / 55 CHN); glucose=100",,,,FALSE,subset-nin-thiếu-khoáng,"Ngô, cả bắp, nếp, luộc"
16,Bột mì,,ngũ cốc,347,11,73.2,1.1,0.3,,4,186,132,,,,,,gluten,NIN,NIN Bảng TPTP VN (mã 1018),FALSE,subset,"Bột mì, trắng "
17,Yến mạch,,ngũ cốc,,,,,,,,,,,,55,Atkinson2021,"Atkinson FS et al. 2021, Am J Clin Nutr 114:1625-1632, tr.1629 — sản phẩm yến mạch/oat flakes trung bình 55; glucose=100",gluten,,,FALSE,MISS,
18,Cháo trắng,,ngũ cốc,49.57,1.16,10.81,0.19,0.1,,0.71,28.86,15.43,,,,,,,estimated,Cháo trắng ước tính từ gạo tẻ sống (NIN 1003) × 1/7 (loãng),TRUE,estimated,"(ước tính từ Gạo, trắng, tẻ, giã tay, sống)"
19,Thịt lợn nạc,thịt heo nạc,thịt,139,19,0,7,0,,76,341,190,237.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Pork loin, boneless, skinless, raw [USA]",,,,,NIN,NIN Bảng TPTP VN (mã 7017),FALSE,subset,"Thịt lợn, nạc, tươi"
20,Thịt lợn ba chỉ,thịt heo ba rọi,thịt,,,,,,,,,,,,,,,,,,FALSE,MISS,
21,Thịt bò thăn,,thịt,118,21,0,3.8,0,,83,378,226,156.6,"USDA/ODS-NIH Purine DB R2.0 (2025) — Beef chuck roast, boneless, choice, raw [USA]",,,,,NIN,NIN Bảng TPTP VN (mã 7003),FALSE,override,"Thịt bò, loại I, tươi"
22,Thịt bò bắp,,thịt,122,21.75,0,3.85,0,,63,387,204,,,,,,,NIN,NIN Bảng TPTP VN (mã 7094),FALSE,subset,"Thịt bò, bắp, sống"
23,"Thịt gà (ức, bỏ da)",,thịt,,,,,,,,,,174.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Chicken breast, raw [USA]",,,,,,,FALSE,MISS,
24,"Thịt gà (đùi, có da)",,thịt,,,,,,,,,,,,,,,,,,FALSE,MISS,
25,Thịt vịt,,thịt,267,17.8,0,21.8,0,,63,209,145,,,,,,,NIN,NIN Bảng TPTP VN (mã 7028),FALSE,subset,"Thịt vịt, tươi"
26,Gan lợn,gan heo,thịt,116,18.8,2,3.6,0,,110,447,353,289,"USDA/ODS-NIH Purine DB R2.0 (2025) — Pork, liver, raw [USA]",,,,,NIN,NIN Bảng TPTP VN (mã 7041),FALSE,subset,"Gan lợn, tươi"
27,Lòng lợn,,thịt,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Lòng lợn (ruột già), tươi"
28,Tim lợn,,thịt,94,15.1,1.2,3.2,0,,56,294,213,,,,,,,NIN,NIN Bảng TPTP VN (mã 7057),FALSE,subset,"Tim lợn, tươi"
29,Giò lụa,chả lụa,thịt,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Giò lụa, chín"
30,Chả quế,,thịt,,,,,,,,,,,,,,,,,,FALSE,exact-nin-thiếu-khoáng,Chả quế
31,Nem chua,,thịt,125,20.7,3.2,3.3,0,,476,194,78,,,,,,,NIN,NIN Bảng TPTP VN (mã 7073),FALSE,exact,Nem chua
32,Xúc xích,,thịt,535,27.2,0,47.4,0,,287,219,139,,,,,,,NIN,NIN Bảng TPTP VN (mã 7077),FALSE,exact,Xúc xích
33,Trứng gà,,trứng,150,12.96,1.25,10.33,0,0.77,158,176,210,,,,,,trứng,NIN,NIN Bảng TPTP VN (mã 9001),FALSE,subset,Trứng gà ta
34,Trứng vịt,,trứng,172,13.02,2.94,12.02,0,0.93,191,258,210,,,,,,trứng,NIN,NIN Bảng TPTP VN (mã 9004),FALSE,exact,Trứng vịt
35,Trứng vịt lộn,,trứng,182,13.6,4,12.4,0,,94,131,212,,,,,,trứng,NIN,NIN Bảng TPTP VN (mã 9010),FALSE,exact,Trứng vịt lộn
36,Trứng cút,,trứng,157,12.78,2.89,10.47,0,0.41,141,132,226,,,,,,trứng,NIN,NIN Bảng TPTP VN (mã 9007),FALSE,subset,Trứng chim cút
37,Cá lóc,cá quả|cá chuối,thủy sản,,,,,,,,,,,,,,,cá,,,FALSE,alias-subset-nin-thiếu-khoáng,"Cá quả, tươi"
38,Cá rô phi,,thủy sản,96.0,20.1,0.0,1.7,0.0,0.0,52.0,302,170,,,,,,cá,USDA,USDA FDC fdcId:175176,FALSE,usda,"Fish, tilapia, raw"
39,Cá chép,,thủy sản,96,16,0,3.6,0,,49,397,184,,,,,,cá,NIN,NIN Bảng TPTP VN (mã 8003),FALSE,subset,"Cá chép, tươi"
40,Cá basa,cá tra,thủy sản,119,15.2,0,5.94,0,,98,302,204,,,,,,cá,NIN,NIN Bảng TPTP VN (mã 8092),FALSE,subset,"Cá basa, tươi"
41,Cá thu,,thủy sản,166,18.2,0,10.3,0,,110,486,90,194,"USDA/ODS-NIH Purine DB R2.0 (2025) — Mackerel, raw (unspecified) [USA]",,,,cá,NIN,NIN Bảng TPTP VN (mã 8026),FALSE,subset,"Cá thu, tươi"
42,Cá ngừ,,thủy sản,87,21,0,0.3,0,,78,518,206,157.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Tuna, raw (unspecified) [Japan]",,,,cá,NIN,NIN Bảng TPTP VN (mã 8019),FALSE,subset,"Cá ngừ, tươi"
43,Cá nục,,thủy sản,111,20.2,0,3.3,0,,104,383,160,,,,,,cá,NIN,NIN Bảng TPTP VN (mã 8020),FALSE,subset,"Cá nục, tươi"
44,Cá trích,,thủy sản,166,17.7,0,10.6,0,,160,423,174,139.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Herring, raw [Japan]",,,,cá,NIN,NIN Bảng TPTP VN (mã 8031),FALSE,subset,"Cá trích, tươi"
45,Cá hồi,,thủy sản,136,22,0,5.3,0,,46,423,230,250,"USDA/ODS-NIH Purine DB R2.0 (2025) — Salmon, mixed species, raw [USA]",,,,cá,NIN,NIN Bảng TPTP VN (mã 8011),FALSE,subset,"Cá hồi, tươi"
46,Cá bống,,thủy sản,,,,,,,,,,,,,,,cá,,,FALSE,subset-nin-thiếu-khoáng,"Cá bống, tươi"
47,Tôm biển,,thủy sản,82,17.6,0.9,0.9,0,,148,185,184,166.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Shrimp, raw (unspecified) [Japan]",,,,hải sản,NIN,NIN Bảng TPTP VN (mã 8051),FALSE,subset,"Tôm biển, tươi"
48,Tôm sú,,thủy sản,,,,,,,,,,166.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Shrimp, raw (unspecified) [Japan]",,,,hải sản,,,FALSE,MISS,
49,Cua đồng,,thủy sản,87,12.3,2,3.3,0,,1484,27,171,136.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Crab, snow, raw [Japan]",,,,hải sản,NIN,NIN Bảng TPTP VN (mã 8034),FALSE,subset,"Cua đồng, tươi"
50,Ghẹ,,thủy sản,54,11.9,0,0.7,0,,293,329,229,136.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Crab, snow, raw [Japan]",,,,hải sản,NIN,NIN Bảng TPTP VN (mã 8035),FALSE,override,"Cua ghẹ, tươi"
51,Mực tươi,,thủy sản,73,16.3,0,0.9,0,,44,273,150,135,"USDA/ODS-NIH Purine DB R2.0 (2025) — Squid, raw (unspecified) [USA]",,,,hải sản,NIN,NIN Bảng TPTP VN (mã 8040),FALSE,subset,"Mực, tươi"
52,Ngao,nghêu,thủy sản,86.0,14.7,3.57,0.96,0.0,0.0,601,46.0,198,136,"USDA/ODS-NIH Purine DB R2.0 (2025) — Clams, raw [USA]",,,,hải sản,USDA,USDA FDC fdcId:174214,FALSE,usda,"Mollusks, clam, mixed species, raw"
53,Hến,,thủy sản,45,4.5,5.1,0.7,0,,86,54,86,,,,,,hải sản,NIN,NIN Bảng TPTP VN (mã 8037),FALSE,subset,"Hến, tươi"
54,Cá khô,,thủy sản,,,,,,,,,,,,,,,cá,,,FALSE,subset-nin-thiếu-khoáng,"Cá khô (chim, thu, nụ, đé), sống"
55,Đậu phụ,đậu hũ|tàu hũ,đậu,97,10.9,1.1,5.4,0.4,,7,121,85,31.1,"USDA/ODS-NIH Purine DB R2.0 (2025) — Tofu, raw (nigari) [Japan]",,,,đậu nành,NIN,NIN Bảng TPTP VN (mã 3025),FALSE,subset,"Đậu phụ, sống"
56,Đậu phụ chiên,,đậu,,,,,,,,,,,,,,,đậu nành,,,FALSE,MISS,
57,Sữa đậu nành,,đậu,29,3.1,0.5,1.6,0.1,,55,124,36,,,,,,đậu nành,NIN,NIN Bảng TPTP VN (mã 3032),FALSE,subset,Sữa đậu nành (100g đậu/lít)
58,Đậu xanh,,đậu,346,23.4,57.8,2.4,4.7,,6,1132,377,,,42,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1302) — Mung bean, pressure cooked, Australia 1998, GI 42±5; glucose=100",,NIN,NIN Bảng TPTP VN (mã 3010),FALSE,subset,"Đậu xanh (đậu tắt), hạt, khô"
59,Đậu đen,,đậu,341,21.6,62.4,1.42,15.5,2.12,5.0,1480.0,352,,,,,,,USDA,USDA FDC fdcId:173734,FALSE,usda,"Beans, black, mature seeds, raw"
60,Đậu đỏ,,đậu,329,19.9,62.9,0.53,12.7,,5.0,1250.0,381,,,,,,,USDA,USDA FDC fdcId:173727,FALSE,usda,"Beans, adzuki, mature seeds, raw"
61,Đậu tương hạt,đậu nành hạt,đậu,418,34,29.1,18.4,4.5,,2,1504,690,172.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Soybeans, dried, raw [Japan]",,,,đậu nành,NIN,NIN Bảng TPTP VN (mã 3007),FALSE,subset,"Đậu tương, đậu nành, hạt khô"
62,Giá đỗ,giá,đậu,82,7.7,8.7,1.8,0.7,,14,484,58,,,25,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1301) — Mung bean, germinated, Australia 1998, GI 25±4; glucose=100",,NIN,NIN Bảng TPTP VN (mã 4035),FALSE,alias-subset,"Giá đậu tương, tươi"
63,Chao,,đậu,,,,,,,,,,,,,,,đậu nành,,,FALSE,subset-nin-thiếu-khoáng,Cháo lòng
64,Tương hột,,đậu,,,,,,,,,,,,,,,đậu nành,,,FALSE,MISS,
65,Rau muống,,rau lá,28,3.2,3.26,0.24,1,,37.4,330.5,37,,,,,,,NIN,NIN Bảng TPTP VN (mã 4083),FALSE,subset,"Rau muống,  tươi"
66,Rau ngót,bồ ngót,rau lá,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Rau ngót, tươi"
67,Rau dền,,rau lá,23.0,2.46,4.02,0.33,0,,20.0,611,50.0,,,,,,,USDA,USDA FDC fdcId:168385,FALSE,usda,"Amaranth leaves, raw"
68,Rau cải ngọt,,rau lá,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Rau cải ngọt, tươi"
69,Cải xanh,cải bẹ xanh,rau lá,23,1.7,3.76,0.14,1.8,1.6,28.6,220.8,13.5,,,,,,,NIN,NIN Bảng TPTP VN (mã 4016),FALSE,subset,"Cải xanh, tươi"
70,Cải thảo,,rau lá,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Cải thảo, luộc"
71,Cải bắp,bắp cải,rau lá,41,1.96,7.61,0.33,1.74,3.89,30.76,205.98,33.7,,,,,,,NIN,NIN Bảng TPTP VN (mã 4010002),FALSE,subset,"Cải bắp, luộc"
72,Cải cúc,tần ô,rau lá,,,,,,,,,,,,,,,,,,FALSE,subset-nin-thiếu-khoáng,"Cải cúc, tươi"
