id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,na_mg,k_mg,p_mg,purine_mg,gi_index,contains_allergens,source,source_ref,is_estimated,assigned_to,priority_note
1,Gạo tẻ (sống),gạo trắng,ngũ cốc,,,,,,,,,,,,,,FALSE,R1,
2,Cơm tẻ,cơm trắng,ngũ cốc,,,,,,,,,,,,,,FALSE,R2,khẩu phần nền
3,Gạo lứt,gạo nâu,ngũ cốc,,,,,,,,,,,,,,FALSE,R3,
4,Bún tươi,,ngũ cốc,,,,,,,,,,,,,,FALSE,R4,
5,Bánh phở tươi,,ngũ cốc,,,,,,,,,,,,,,FALSE,R1,gluten? kiểm tra
6,Miến dong,,ngũ cốc,,,,,,,,,,,,,,FALSE,R2,
7,Bánh mì,,ngũ cốc,,,,,,,,,,,gluten,,,FALSE,R3,
8,Mì ăn liền,mì tôm,ngũ cốc,,,,,,,,,,,gluten,,,FALSE,R4,Na rất cao - ưu tiên
9,Bánh cuốn,,ngũ cốc,,,,,,,,,,,,,,FALSE,R1,
10,Xôi trắng,,ngũ cốc,,,,,,,,,,,,,,FALSE,R2,
11,Khoai lang,,ngũ cốc,,,,,,,,,,,,,,FALSE,R3,
12,Khoai tây,,ngũ cốc,,,,,,,,,,,,,,FALSE,R4,
13,Khoai môn,,ngũ cốc,,,,,,,,,,,,,,FALSE,R1,
14,Sắn luộc,khoai mì,ngũ cốc,,,,,,,,,,,,,,FALSE,R2,
15,Ngô luộc,bắp,ngũ cốc,,,,,,,,,,,,,,FALSE,R3,
16,Bột mì,,ngũ cốc,,,,,,,,,,,gluten,,,FALSE,R4,
17,Yến mạch,,ngũ cốc,,,,,,,,,,,gluten,,,FALSE,R1,
18,Cháo trắng,,ngũ cốc,,,,,,,,,,,,,,FALSE,R2,
19,Thịt lợn nạc,thịt heo nạc,thịt,,,,,,,,,,,,,,FALSE,R3,
20,Thịt lợn ba chỉ,thịt heo ba rọi,thịt,,,,,,,,,,,,,,FALSE,R4,
21,Thịt bò thăn,,thịt,,,,,,,,,,,,,,FALSE,R1,
22,Thịt bò bắp,,thịt,,,,,,,,,,,,,,FALSE,R2,
23,"Thịt gà (ức, bỏ da)",,thịt,,,,,,,,,,,,,,FALSE,R3,
24,"Thịt gà (đùi, có da)",,thịt,,,,,,,,,,,,,,FALSE,R4,
25,Thịt vịt,,thịt,,,,,,,,,,,,,,FALSE,R1,
26,Gan lợn,gan heo,thịt,,,,,,,,,,,,,,FALSE,R2,purin cao - ưu tiên
27,Lòng lợn,,thịt,,,,,,,,,,,,,,FALSE,R3,purin cao
28,Tim lợn,,thịt,,,,,,,,,,,,,,FALSE,R4,purin cao
29,Giò lụa,chả lụa,thịt,,,,,,,,,,,,,,FALSE,R1,
30,Chả quế,,thịt,,,,,,,,,,,,,,FALSE,R2,
31,Nem chua,,thịt,,,,,,,,,,,,,,FALSE,R3,
32,Xúc xích,,thịt,,,,,,,,,,,,,,FALSE,R4,Na cao
33,Trứng gà,,trứng,,,,,,,,,,,trứng,,,FALSE,R1,
