dish_id,food_id,grams,note
FNDDS-2705384,171265,40,"Milk, whole, 3.25% milkfat, with added vitamin D"
FNDDS-2705384,171269,8,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
FNDDS-2705384,170872,14,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
FNDDS-2705384,171267,38,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
FNDDS-2705385,171265,100,"Milk, whole, 3.25% milkfat, with added vitamin D"
FNDDS-2705386,171267,100,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
FNDDS-2705387,170872,100,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
FNDDS-2705388,171269,100,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
FNDDS-2705389,170872,100,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
FNDDS-2705390,171269,100,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
FNDDS-2705391,171267,100,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
FNDDS-2705392,171265,100,"Milk, whole, 3.25% milkfat, with added vitamin D"
FNDDS-2705393,170874,100,"Buttermilk, low fat"
FNDDS-2705394,171301,50,"Kefir, lowfat, strawberry, LIFEWAY"
FNDDS-2705394,170904,50,"Kefir, lowfat, plain, LIFEWAY"
FNDDS-2705395,171278,100,"Milk, goat, fluid, with added vitamin D"
FNDDS-2705396,172195,23,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D"
FNDDS-2705396,173647,237,"Beverages, water, tap, drinking"
FNDDS-2705397,170876,42.662,"Milk, dry, whole, with added vitamin D"
FNDDS-2705397,173647,237,"Beverages, water, tap, drinking"
FNDDS-2705398,171276,100,"Milk, canned, evaporated, with added vitamin D and without added vitamin A"
FNDDS-2705399,171276,100,"Milk, canned, evaporated, with added vitamin D and without added vitamin A"
FNDDS-2705400,170878,100,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D"
FNDDS-2705400,173412,1.8,"Butter oil, anhydrous"
FNDDS-2705401,170878,100,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D"
FNDDS-2705402,171275,100,"Milk, canned, condensed, sweetened"
FNDDS-2705404,175215,96,"Soy milk, unsweetened, plain, shelf stable"
FNDDS-2705404,169655,4,"Sugars, granulated"
FNDDS-2705405,175215,100,"Soy milk, unsweetened, plain, shelf stable"
FNDDS-2705407,174832,96,"Almond milk, unsweetened, plain, shelf stable"
FNDDS-2705407,169655,4,"Sugars, granulated"
FNDDS-2705409,174832,100,"Almond milk, unsweetened, plain, shelf stable"
FNDDS-2705411,171942,100,"Beverages, rice milk, unsweetened"
FNDDS-2705413,174116,100,"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2"
FNDDS-2705422,171304,100,"Yogurt, Greek, plain, whole milk"
FNDDS-2705423,173412,1,"Butter oil, anhydrous"
FNDDS-2705423,170894,99,"Yogurt, Greek, plain, nonfat"
FNDDS-2705424,170894,100,"Yogurt, Greek, plain, nonfat"
FNDDS-2705444,171009,20,"Salad dressing, mayonnaise, regular"
FNDDS-2705444,173468,1.3,"Salt, table"
FNDDS-2705444,170106,2,"Peppers, hot chili, red, raw"
FNDDS-2705444,170903,80,"Yogurt, Greek, plain, lowfat"
FNDDS-2705451,168105,100,"Frozen yogurts, flavors other than chocolate"
FNDDS-2705452,168105,100,"Frozen yogurts, flavors other than chocolate"
FNDDS-2705453,168104,100,"Frozen yogurts, chocolate"
FNDDS-2705454,168815,100,"Frozen yogurts, vanilla, soft-serve"
FNDDS-2705456,172714,25,"Cookies, chocolate wafers"
FNDDS-2705456,168105,75,"Frozen yogurts, flavors other than chocolate"
FNDDS-2705457,168105,100,"Frozen yogurts, flavors other than chocolate"
FNDDS-2705458,168104,100,"Frozen yogurts, chocolate"
FNDDS-2705459,175000,5,"Ice cream cones, cake or wafer-type"
FNDDS-2705459,168104,120,"Frozen yogurts, chocolate"
FNDDS-2705460,175000,5,"Ice cream cones, cake or wafer-type"
FNDDS-2705460,168105,120,"Frozen yogurts, flavors other than chocolate"
FNDDS-2705461,168105,240,"Frozen yogurts, flavors other than chocolate"
FNDDS-2705461,175001,15,"Ice cream cones, sugar, rolled-type"
FNDDS-2705462,175001,15,"Ice cream cones, sugar, rolled-type"
FNDDS-2705462,168104,240,"Frozen yogurts, chocolate"
FNDDS-2705466,170881,75,"Milk, chocolate, lowfat, with added vitamin A and vitamin D"
FNDDS-2705466,171303,25,"Milk, chocolate, fat free, with added vitamin A and vitamin D"
FNDDS-2705467,170879,100,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D"
FNDDS-2705468,170880,100,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D"
FNDDS-2705469,171303,100,"Milk, chocolate, fat free, with added vitamin A and vitamin D"
FNDDS-2705470,170881,100,"Milk, chocolate, lowfat, with added vitamin A and vitamin D"
FNDDS-2705473,171267,244,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
FNDDS-2705473,170681,56,"Syrup, NESTLE, chocolate"
FNDDS-2705474,170681,56,"Syrup, NESTLE, chocolate"
FNDDS-2705474,171269,244,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
FNDDS-2705479,171265,244,"Milk, whole, 3.25% milkfat, with added vitamin D"
FNDDS-2705479,168834,35,"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup"
FNDDS-2705480,168834,35,"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup"
FNDDS-2705480,171267,244,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
FNDDS-2705481,170872,244,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
FNDDS-2705481,168834,35,"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup"
FNDDS-2705482,171269,244,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
FNDDS-2705482,168834,35,"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup"
FNDDS-2705483,173647,180,"Beverages, water, tap, drinking"
FNDDS-2705483,174122,28,"Beverages, Cocoa mix, powder"
FNDDS-2705484,174122,28,"Beverages, Cocoa mix, powder"
FNDDS-2705484,171267,180,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
FNDDS-2705485,171269,180,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
FNDDS-2705485,174122,28,"Beverages, Cocoa mix, powder"
FNDDS-2705488,173647,180,"Beverages, water, tap, drinking"
FNDDS-2705488,171886,16,"Beverages, Cocoa mix, no sugar added, powder"
FNDDS-2705489,171886,16,"Beverages, Cocoa mix, no sugar added, powder"
FNDDS-2705489,171267,180,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
FNDDS-2705491,168834,56,"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup"
FNDDS-2705491,171267,244,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
FNDDS-2705492,171269,180,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
FNDDS-2705492,171886,16,"Beverages, Cocoa mix, no sugar added, powder"
FNDDS-2705493,171269,244,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
FNDDS-2705493,168834,56,"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup"
FNDDS-2705496,171265,244,"Milk, whole, 3.25% milkfat, with added vitamin D"
