dish_id,name_vi,name_en,region,origin,roles,serving_g,verified_by,note
FNDDS-2705384,,"Milk, NFS",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705384"
FNDDS-2705385,,"Milk, whole",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705385"
FNDDS-2705386,,"Milk, reduced fat (2%)",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705386"
FNDDS-2705387,,"Milk, low fat (1%)",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705387"
FNDDS-2705388,,"Milk, fat free (skim)",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705388"
FNDDS-2705389,,"Milk, lactose free, low fat (1%)",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705389"
FNDDS-2705390,,"Milk, lactose free, fat free (skim)",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705390"
FNDDS-2705391,,"Milk, lactose free, reduced fat (2%)",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705391"
FNDDS-2705392,,"Milk, lactose free, whole",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705392"
FNDDS-2705393,,Buttermilk,,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705393"
FNDDS-2705394,,Kefir,,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705394"
