food_description_en,total_purine_mg_100g,n_samples,country_of_origin,year,source_group,source_code,source_citation
"Beef brain, raw",162.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Beef heart, raw",171.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Beef kidney, cooked",230.8,1,Canada,1976,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Beef kidney, raw",213.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Beef liver, raw",197.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Beef chuck roast, boneless, choice, raw",156.6,6,USA,2024,NAm,USDA,
"Beef flank steak, boneless, choice, raw",98.6,6,USA,2024,NAm,USDA,
"Beef, ground, 73% lean meat / 27% fat, raw",133.3,6,USA,2024,NAm,USDA,
"Beef, ground, 73% lean meat / 27% fat, cooked4",233.3,6,USA,2024,NAm,USDA,
"Beef, ground, 80% lean meat / 20% fat, raw",160.9,6,USA,2024,NAm,USDA,
"Beef, ground, 93% lean meat / 7% fat, raw",188.9,8,USA,2024,NAm,USDA,
"Beef, ground, 93% lean meat / 7% fat, cooked4",251.9,8,USA,2024,NAm,USDA,
"Beef, ground, cooked (unspecified)",89.9,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Beef ribeye, steak, boneless, choice, raw",173.9,6,USA,2024,NAm,USDA,
"Beef roast, cooked (unspecified)",124.8,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Beef shoulder roast, choice, boneless, raw",163.9,6,USA,2024,NAm,USDA,
"Beef shoulder roast, choice, boneless, cooked4",193.4,6,USA,2024,NAm,USDA,
"Beef, sirloin, raw",124.8,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Bread, crusty (baguette)",15.7,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Bread, white",12.2,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
Corn cereal,1.0,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Rice, white, cooked",5.9,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
Whole-grain wheat flour,11.5,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Cheese, American",7.0,8,USA,2024,NAm,USDA,
"Cheese, cottage",8.0,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Cheese, Monterey Jack",9.1,8,USA,2024,NAm,USDA,
"Cheese, Provolone",12.55,8,USA,2024,NAm,USDA,
"Cheese, processed (unspecified)",2.0,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Cheese, queso cotija",8.6,7,USA,2024,NAm,USDA,
"Cheese, queso fresco",0.67,8,USA,2024,NAm,USDA,
"Cheese, queso Oaxaca",7.91,8,USA,2024,NAm,USDA,
"Egg, white, boiled",0.73,4,USA,2024,NAm,USDA,
"Egg, yolk, boiled",0.53,4,USA,2024,NAm,USDA,
"Milk, 2% fat",0.6,6,USA,2024,NAm,USDA,
"Yogurt, regular, nonfat, plain",8.28,8,USA,2024,NAm,USDA,
"Yogurt, plain",7.0,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Anchovy, canned",321.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Anchovy, raw",411.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Catfish, farmed, raw",205.2,7,USA,2024,NAm,USDA,
"Clams, canned",62.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Clams, raw",136.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Cod, Atlantic, wild, raw",110.3,8,USA,2024,NAm,USDA,
"Crab, blue, lump, pasteurized",147.7,8,USA,2024,NAm,USDA,
"Herring, canned",378.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Mackerel, canned",246.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Mackerel, raw (unspecified)",194.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Oysters, canned",107.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Salmon, Atlantic, farmed, raw",249.9,8,USA,2024,NAm,USDA,
"Salmon, canned",88.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Salmon, mixed species, raw",250.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Salmon, sockeye, wild, raw",259.8,8,USA,2024,NAm,USDA,
"Sardine, canned",399.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Sardine, raw",345.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Shrimp, mixed species, farmed, raw",182.4,7,USA,2024,NAm,USDA,
"Shrimp, raw, frozen (no further unspecified)",234.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Squid, raw (unspecified)",135.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Tilapia, farmed, raw",185.8,7,USA,2024,NAm,USDA,
"Tuna, canned",142.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Tuna, canned, drained solids",211.8,6,USA,2024,NAm,USDA,
"Whitefish, raw",122.25,2,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
