dish_id,food_id,grams,note
PHO-BO,5,200,Bánh phở tươi
PHO-BO,21,50,Thịt bò thăn
PHO-BO,137,10,Nước mắm nêm
PHO-BO,139,1.5,Muối nêm nước dùng
PHO-BO,62,30,Giá đỗ
BUN-DAU-MAM,4,200,Bún tươi
BUN-DAU-MAM,55,100,Đậu phụ
BUN-DAU-MAM,137,8,Mắm chấm (quy nước mắm)
CANH-RAU-MUONG,65,100,Rau muống
CANH-RAU-MUONG,137,3,Nước mắm
CANH-RAU-MUONG,139,0.5,Muối
VN-PHO-GA,5,180,Bánh phở tươi
VN-PHO-GA,2095,80,Thịt gà ta
VN-PHO-GA,2041,10,Hành củ tươi
VN-PHO-GA,152,5,Gừng
VN-PHO-GA,137,10,Nước mắm
VN-BUN-CHA,4,200,Bún tươi
VN-BUN-CHA,19,100,Thịt lợn nạc
VN-BUN-CHA,137,30,Nước mắm
VN-BUN-CHA,151,5,Tỏi
VN-BUN-CHA,86,20,Cà rốt
VN-CANH-CHUA-CA,40,150,Cá basa
VN-CANH-CHUA-CA,85,50,Cà chua
VN-CANH-CHUA-CA,62,30,Giá đỗ
VN-CANH-CHUA-CA,137,10,Nước mắm
VN-RAU-MUONG-XAO-TOI,65,200,Rau muống
VN-RAU-MUONG-XAO-TOI,151,5,Tỏi
VN-RAU-MUONG-XAO-TOI,129,10,Dầu ăn thực vật
VN-DAU-PHU-SOT-CA,55,200,Đậu phụ
VN-DAU-PHU-SOT-CA,85,100,Cà chua
VN-DAU-PHU-SOT-CA,2041,10,Hành củ tươi
VN-DAU-PHU-SOT-CA,129,10,Dầu ăn thực vật
VN-CA-KHO-TO,39,200,Cá chép
VN-CA-KHO-TO,137,20,Nước mắm
VN-CA-KHO-TO,152,5,Gừng
VN-GA-KHO-GUNG,2095,200,Thịt gà ta
VN-GA-KHO-GUNG,152,15,Gừng
VN-GA-KHO-GUNG,137,20,Nước mắm
VN-CANH-CAI-TOM,68,150,Rau cải ngọt
VN-CANH-CAI-TOM,47,50,Tôm biển
VN-CANH-CAI-TOM,137,10,Nước mắm
VN-SUON-XAO-CHUA-NGOT,2121,200,Sườn lợn
VN-SUON-XAO-CHUA-NGOT,85,50,Cà chua
VN-SUON-XAO-CHUA-NGOT,102,30,Hành tây
VN-TRUNG-CHIEN,33,120,Trứng gà
VN-TRUNG-CHIEN,2041,10,Hành củ tươi
VN-TRUNG-CHIEN,129,10,Dầu ăn thực vật
VN-CANH-SU-HAO,88,150,Su hào
VN-CANH-SU-HAO,86,50,Cà rốt
VN-CANH-SU-HAO,19,50,Thịt lợn nạc
VN-NAM-XAO-THIT-BO,101,50,Nấm hương
VN-NAM-XAO-THIT-BO,21,100,Thịt bò thăn
VN-NAM-XAO-THIT-BO,151,5,Tỏi
VN-NAM-XAO-THIT-BO,129,10,Dầu ăn thực vật
PHO-BO-VCB,102,400,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
PHO-BO-VCB,152,100,Nguồn: vietnamesecookbook.com
PHO-BO-VCB,137,60.0,Nguồn: vietnamesecookbook.com
PHO-BO-VCB,102,100,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
PHO-BO-VCB,79,40,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
PHO-BO-VCB,78,20,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BANH-MI-THIT-VCB,4056,250,Nguồn: vietnamesecookbook.com
BANH-MI-THIT-VCB,131,100,Nguồn: vietnamesecookbook.com
BANH-MI-THIT-VCB,137,15,Nguồn: vietnamesecookbook.com
BANH-MI-THIT-VCB,2161,60,Nguồn: vietnamesecookbook.com
BANH-MI-THIT-VCB,95,150,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BANH-MI-THIT-VCB,78,20,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BANH-MI-THIT-VCB,143,15,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BUN-BO-HUE-VCB,22,1000,Nguồn: vietnamesecookbook.com
BUN-BO-HUE-VCB,4054,800,Nguồn: vietnamesecookbook.com
BUN-BO-HUE-VCB,102,150,Nguồn: vietnamesecookbook.com
BUN-BO-HUE-VCB,137,45,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BUN-BO-HUE-VCB,129,60,Nguồn: vietnamesecookbook.com
BUN-BO-HUE-VCB,4,800,Nguồn: vietnamesecookbook.com
CA-PHE-SUA-DA-VCB,125,35,Nguồn: vietnamesecookbook.com
BANH-XEO-VCB,4003,250,Nguồn: vietnamesecookbook.com
BANH-XEO-VCB,136,200,Nguồn: vietnamesecookbook.com
BANH-XEO-VCB,139,5,Nguồn: vietnamesecookbook.com
BANH-XEO-VCB,79,20,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BANH-XEO-VCB,20,200,Nguồn: vietnamesecookbook.com
BANH-XEO-VCB,47,200,Nguồn: vietnamesecookbook.com
BANH-XEO-VCB,102,150,Nguồn: vietnamesecookbook.com
BANH-XEO-VCB,62,250,Nguồn: vietnamesecookbook.com
BANH-XEO-VCB,129,90,Nguồn: vietnamesecookbook.com
BANH-XEO-VCB,76,100,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
CA-KHO-TO-VCB,137,30,Nguồn: vietnamesecookbook.com
CA-KHO-TO-VCB,149,12,Nguồn: vietnamesecookbook.com
CA-KHO-TO-VCB,151,15,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
CA-KHO-TO-VCB,137,30,Nguồn: vietnamesecookbook.com
CA-KHO-TO-VCB,122,150,Nguồn: vietnamesecookbook.com
CA-KHO-TO-VCB,129,15,Nguồn: vietnamesecookbook.com
CA-KHO-TO-VCB,79,20,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
GOI-CUON-VCB,20,350,Nguồn: vietnamesecookbook.com
GOI-CUON-VCB,47,350,Nguồn: vietnamesecookbook.com
GOI-CUON-VCB,4,100,Nguồn: vietnamesecookbook.com
GOI-CUON-VCB,76,120,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
GOI-CUON-VCB,151,5,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
GOI-CUON-VCB,132,30,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
CANH-CHUA-CA-VCB,137,45,Nguồn: vietnamesecookbook.com
CANH-CHUA-CA-VCB,149,25,Nguồn: vietnamesecookbook.com
CANH-CHUA-CA-VCB,151,15,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
CANH-CHUA-CA-VCB,111,200,Nguồn: vietnamesecookbook.com
CANH-CHUA-CA-VCB,85,240,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
CANH-CHUA-CA-VCB,97,90,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
CANH-CHUA-CA-VCB,62,100,Nguồn: vietnamesecookbook.com
CANH-CHUA-CA-VCB,129,30,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
COM-TAM-VCB,151,15,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
COM-TAM-VCB,137,45,Nguồn: vietnamesecookbook.com
COM-TAM-VCB,4076,40,Nguồn: vietnamesecookbook.com
COM-TAM-VCB,149,12,Nguồn: vietnamesecookbook.com
COM-TAM-VCB,129,30,Nguồn: vietnamesecookbook.com
COM-TAM-VCB,79,40,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
COM-TAM-VCB,129,60,Nguồn: vietnamesecookbook.com
COM-TAM-VCB,33,200,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BUN-CHA-VCB,20,400,Nguồn: vietnamesecookbook.com
BUN-CHA-VCB,151,15,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BUN-CHA-VCB,137,45,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BUN-CHA-VCB,149,30,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BUN-CHA-VCB,148,15,Nguồn: vietnamesecookbook.com
BUN-CHA-VCB,137,80,Nguồn: vietnamesecookbook.com
BUN-CHA-VCB,149,60,Nguồn: vietnamesecookbook.com
BUN-CHA-VCB,3020,200,Nguồn: vietnamesecookbook.com
BUN-CHA-VCB,86,100,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BUN-CHA-VCB,139,5,Nguồn: vietnamesecookbook.com
BUN-CHA-VCB,4,600,Nguồn: vietnamesecookbook.com
BUN-CHA-VCB,76,100,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
MI-QUANG-VCB,47,300,Nguồn: vietnamesecookbook.com
MI-QUANG-VCB,2159,30,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
MI-QUANG-VCB,151,20,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
MI-QUANG-VCB,137,30,Nguồn: vietnamesecookbook.com
MI-QUANG-VCB,36,54,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
MI-QUANG-VCB,132,60,Nguồn: vietnamesecookbook.com
MI-QUANG-VCB,121,60,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
NUOC-CHAM-VCB,137,60,Nguồn: vietnamesecookbook.com
NUOC-CHAM-VCB,121,60,Nguồn: vietnamesecookbook.com
NUOC-CHAM-VCB,149,50,Nguồn: vietnamesecookbook.com
NUOC-CHAM-VCB,151,10,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
THIT-KHO-TRUNG-VCB,20,1000,Nguồn: vietnamesecookbook.com
THIT-KHO-TRUNG-VCB,33,500,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
THIT-KHO-TRUNG-VCB,122,500,Nguồn: vietnamesecookbook.com
THIT-KHO-TRUNG-VCB,137,60,Nguồn: vietnamesecookbook.com
THIT-KHO-TRUNG-VCB,149,20,Nguồn: vietnamesecookbook.com
THIT-KHO-TRUNG-VCB,151,15,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BUN-RIEU-VCB,33,150,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BUN-RIEU-VCB,85,600,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BUN-RIEU-VCB,144,15,Nguồn: vietnamesecookbook.com
BUN-RIEU-VCB,137,30,Nguồn: vietnamesecookbook.com
BUN-RIEU-VCB,4,400,Nguồn: vietnamesecookbook.com
BUN-RIEU-VCB,55,300,Nguồn: vietnamesecookbook.com
BUN-RIEU-VCB,65,100,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BUN-RIEU-VCB,121,60,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
PHO-GA-VCB,152,80,Nguồn: vietnamesecookbook.com
PHO-GA-VCB,137,30,Nguồn: vietnamesecookbook.com
PHO-GA-VCB,79,30,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
PHO-GA-VCB,78,20,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
PHO-GA-VCB,121,60,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com"
BANH-MI-THIT-VCB,7,80,"Nguồn: vietnamesecookbook.com — 4 ổ/4 người, ước lượng 80g/ổ (bánh mì Việt Nam thường nhẹ hơn bánh mì Âu)"
COM-TAM-VCB,4060,300,"Nguồn: vietnamesecookbook.com — 4 miếng sườn cốt lết/4 người, ước lượng 75g/miếng"
PHO-BO-VCB,139,15,"Ước lượng quy đổi từ đơn vị bếp (1 muỗng canh muối tinh, chưa cân đo thật), nguồn: vietnamesecookbook.com"
GOI-CUON-VCB,3022,15,"Ước lượng quy đổi từ đơn vị bếp (12 cọng hẹ ~1.25g/cọng, chưa cân đo thật), nguồn: vietnamesecookbook.com"
