dish_id,food_id,grams,note
MENU-TĐ3+4-TD3-Sáng-1,95,50,Dưa chuột
MENU-TĐ3+4-TD3-Sáng-1,85,40,Cà chua
MENU-TĐ3+4-TD3-Sáng-1,125,5,Sữa đặc có đường
MENU-TĐ3+4-TD3-Trưa-2,1,155,Gạo tẻ
MENU-TĐ3+4-TD3-Trưa-2,78,15,Rau mùi
MENU-TĐ3+4-TD3-Trưa-2,140,2,Bột canh
MENU-TĐ3+4-TD3-Trưa-2,141,3,Hạt nêm
MENU-TĐ3+4-TD3-Tối-3,1,100,Gạo tẻ
MENU-TĐ3+4-TD3-Tối-3,41,80,Cá thu
MENU-TĐ3+4-TD3-Tối-3,85,40,Cà chua
MENU-TĐ3+4-TD3-Tối-3,84,130,Súp lơ xanh
MENU-TĐ3+4-TD3-Tối-3,88,60,Su hào
MENU-TĐ3+4-TD3-Tối-3,86,60,Cà rốt
MENU-TĐ3+4-TD3-Tối-3,140,2,Bột canh
MENU-TĐ3+4-TD4-Sáng-4,4,265,Bún tươi
MENU-TĐ3+4-TD4-Sáng-4,86,60,Cà rốt
MENU-TĐ3+4-TD4-Sáng-4,95,60,Dưa chuột
MENU-TĐ3+4-TD4-Trưa-5,1,145,Gạo tẻ
MENU-TĐ3+4-TD4-Trưa-5,49,60,Cua đồng
MENU-TĐ3+4-TD4-Trưa-5,74,150,Rau đay
MENU-TĐ3+4-TD4-Trưa-5,93,120,Mướp
MENU-TĐ3+4-TD4-Trưa-5,140,2,Bột canh
MENU-TĐ3+4-TD4-Trưa-5,141,2,Hạt nêm
MENU-TĐ3+4-TD4-Tối-6,1,110,Gạo tẻ
MENU-TĐ3+4-TD4-Tối-6,86,20,Cà rốt
MENU-TĐ3+4-TD4-Tối-6,84,25,Súp lơ xanh
MENU-TĐ3+4-TD4-Tối-6,78,20,Rau mùi
MENU-TĐ3+4-TD4-Tối-6,140,2,Bột canh
MENU-TĐ3+4-TD4-Tối-6,106,200,Bưởi
MENU-TĐ5+6+7-TD5-Sáng-1,86,50,Cà rốt
MENU-TĐ5+6+7-TD5-Trưa-2,1,52,Gạo tẻ
MENU-TĐ5+6+7-TD5-Trưa-2,65,62,Rau muống
MENU-TĐ5+6+7-TD5-Tối-3,69,100,Cải xanh
MENU-TĐ5+6+7-TD5-Tối-3,141,5,Hạt nêm
MENU-TĐ5+6+7-TD5-Tối-3,102,30,hành tây
MENU-TĐ5+6+7-TD5-Tối-3,130,6,Mỡ lợn
MENU-TĐ5+6+7-TD5-Tối-3,143,5,Nước tương
MENU-TĐ5+6+7-TD5-Tối-3,111,100,Dứa
MENU-TĐ5+6+7-TD6-Sáng-4,85,120,Cà chua
MENU-TĐ5+6+7-TD6-Sáng-4,102,25,Hành tây
MENU-TĐ5+6+7-TD6-Sáng-4,141,3,Hạt nêm
MENU-TĐ5+6+7-TD6-Sáng-4,95,90,Dưa chuột
MENU-TĐ5+6+7-TD6-Sáng-4,126,100,Sữa chua
MENU-TĐ5+6+7-TD6-Trưa-5,38,100,Cá rô phi
MENU-TĐ5+6+7-TD6-Trưa-5,136,80,Nước cốt dừa
MENU-TĐ5+6+7-TD6-Trưa-5,140,3,Bột canh
MENU-TĐ5+6+7-TD6-Trưa-5,130,5,Mỡ lợn
MENU-TĐ5+6+7-TD6-Trưa-5,91,150,Bí đỏ
MENU-TĐ5+6+7-TD6-Tối-6,25,70,Thịt vịt
MENU-TĐ5+6+7-TD6-Tối-6,95,90,Dưa chuột
MENU-TĐ5+6+7-TD6-Tối-6,102,25,Hành tây
MENU-TĐ5+6+7-TD6-Tối-6,86,100,Cà rốt
MENU-TĐ5+6+7-TD6-Tối-6,88,80,Su hào
MENU-TĐ5+6+7-TD6-Tối-6,84,50,Súp lơ xanh
MENU-TĐ5+6+7-TD6-Tối-6,112,150,Dưa hấu
MENU-TĐ5+6+7-TD7-Sáng-7,57,200,Sữa đậu nành
MENU-TĐ5+6+7-TD7-Sáng-7,115,100,Ổi
MENU-TĐ5+6+7-TD7-Trưa-8,87,59.6,Củ cải trắng
MENU-TĐ5+6+7-TD7-Trưa-8,86,59.6,Cà rốt
MENU-TĐ5+6+7-TD7-Trưa-8,140,2,Bột canh
MENU-TĐ5+6+7-TD7-Tối-9,48,100,Tôm sú
MENU-TĐ5+6+7-TD7-Tối-9,121,45,Chanh
MENU-TĐ5+6+7-TD7-Tối-9,85,140,Cà chua
MENU-TĐ5+6+7-TD7-Tối-9,55,175,Đậu Phụ
MENU-TĐ5+6+7-TD7-Tối-9,141,3,Hạt nêm
MENU-TĐ5+6+7-TD7-Tối-9,140,2,Bột canh
MENU-TĐ5+6+7-TD7-Tối-9,116,100,Thanh long
