dish_id,name_vi,region,serving_g,verified_by,note
MENU-TĐ3+4-TD3-Sáng-1,Bữa sáng - Thực đơn 3 (TĐ 3+4),,95,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 3+4', Thực đơn 3, bữa Sáng. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ3+4-TD3-Trưa-2,Bữa trưa - Thực đơn 3 (TĐ 3+4),,175,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 3+4', Thực đơn 3, bữa Trưa. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ3+4-TD3-Tối-3,Bữa tối - Thực đơn 3 (TĐ 3+4),,472,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 3+4', Thực đơn 3, bữa Tối. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ3+4-TD4-Sáng-4,Bữa sáng - Thực đơn 4 (TĐ 3+4),,385,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 3+4', Thực đơn 4, bữa Sáng. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ3+4-TD4-Trưa-5,Bữa trưa - Thực đơn 4 (TĐ 3+4),,479,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 3+4', Thực đơn 4, bữa Trưa. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ3+4-TD4-Tối-6,Bữa tối - Thực đơn 4 (TĐ 3+4),,377,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 3+4', Thực đơn 4, bữa Tối. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ5+6+7-TD5-Sáng-1,Bữa sáng - Thực đơn 5 (TĐ 5+6+7),,50,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 5+6+7', Thực đơn 5, bữa Sáng. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ5+6+7-TD5-Trưa-2,Bữa trưa - Thực đơn 5 (TĐ 5+6+7),,114,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 5+6+7', Thực đơn 5, bữa Trưa. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ5+6+7-TD5-Tối-3,Bữa tối - Thực đơn 5 (TĐ 5+6+7),,246,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 5+6+7', Thực đơn 5, bữa Tối. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ5+6+7-TD6-Sáng-4,Bữa sáng - Thực đơn 6 (TĐ 5+6+7),,338,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 5+6+7', Thực đơn 6, bữa Sáng. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ5+6+7-TD6-Trưa-5,Bữa trưa - Thực đơn 6 (TĐ 5+6+7),,338,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 5+6+7', Thực đơn 6, bữa Trưa. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ5+6+7-TD6-Tối-6,Bữa tối - Thực đơn 6 (TĐ 5+6+7),,565,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 5+6+7', Thực đơn 6, bữa Tối. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ5+6+7-TD7-Sáng-7,Bữa sáng - Thực đơn 7 (TĐ 5+6+7),,300,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 5+6+7', Thực đơn 7, bữa Sáng. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ5+6+7-TD7-Trưa-8,Bữa trưa - Thực đơn 7 (TĐ 5+6+7),,121.2,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 5+6+7', Thực đơn 7, bữa Trưa. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
MENU-TĐ5+6+7-TD7-Tối-9,Bữa tối - Thực đơn 7 (TĐ 5+6+7),,565,pending,"Trích từ data/Bảng xác định nhu cầu dinh dưỡng + thực đơn.xlsx, sheet 'TĐ 5+6+7', Thực đơn 7, bữa Tối. Khớp food_id tự động theo tên chuẩn hoá — CẦN R2 rà soát trước khi dùng."
