id,drug_name,drug_class,food_or_nutrient,severity,mechanism_vi,recommendation_vi,source_ref,verify_status
1,Warfarin,chống đông kháng vitamin K,vitamin K (rau lá xanh đậm),high,"Vitamin K đối kháng tác dụng chống đông, làm giảm hiệu quả thuốc và thay đổi INR","Không kiêng tuyệt đối. Giữ lượng rau lá xanh ỔN ĐỊNH mỗi ngày, tránh tăng giảm đột ngột. Báo bác sĩ nếu thay đổi chế độ ăn","Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Warfarin",to_verify
2,Warfarin,chống đông kháng vitamin K,rau ngót,high,Rau ngót giàu vitamin K,"Giữ lượng ổn định, không ăn tăng vọt trong tuần","Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Warfarin",to_verify
3,Warfarin,chống đông kháng vitamin K,cải bắp,high,Giàu vitamin K,Giữ lượng ổn định,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Warfarin",to_verify
4,Warfarin,chống đông kháng vitamin K,súp lơ xanh,high,Giàu vitamin K,Giữ lượng ổn định,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Warfarin",to_verify
5,Warfarin,chống đông kháng vitamin K,rượu bia,high,"Rượu ảnh hưởng chuyển hoá warfarin ở gan, tăng nguy cơ chảy máu",Tránh rượu bia,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Warfarin",to_verify
6,Enalapril,ức chế men chuyển (ACEi),thực phẩm giàu kali,high,"ACEi làm giảm bài tiết kali, kết hợp thực phẩm giàu kali gây tăng kali máu","Hạn chế chuối, bơ, nước dừa, nước ép cà chua. Theo dõi kali máu","Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Enalapril",to_verify
7,Enalapril,ức chế men chuyển (ACEi),muối thay thế chứa kali,high,"Muối thay thế thường là kali clorid, cộng dồn gây tăng kali máu nguy hiểm",Không dùng muối thay thế nếu chưa hỏi bác sĩ,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Enalapril",to_verify
8,Losartan,chẹn thụ thể angiotensin (ARB),thực phẩm giàu kali,high,Cơ chế tương tự ACEi,"Hạn chế thực phẩm giàu kali, theo dõi điện giải","Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Losartan, mục Tương tác thuốc: ""Các tác nhân làm tăng nồng độ kali huyết... khi phối hợp với losartan sẽ làm tăng nồng độ kali huyết"" (trungtamthuoc.com/hoat-chat/losartan)",to_verify
9,Atorvastatin,statin,bưởi,high,"Furanocoumarin trong bưởi ức chế CYP3A4 làm tăng nồng độ statin, tăng nguy cơ tiêu cơ vân",Tránh bưởi và nước ép bưởi trong thời gian dùng thuốc. Có thể thay bằng cam,"Dược thư Quốc gia Việt Nam 2022 (QĐ 3445/QĐ-BYT), chuyên luận Atorvastatin",to_verify
10,Simvastatin,statin,bưởi,high,Ức chế CYP3A4 - simvastatin nhạy cảm nhất trong nhóm statin,Tránh hoàn toàn bưởi và nước ép bưởi,"Dược thư Quốc gia VN 2022 (QĐ 3445/QĐ-BYT), chuyên luận Simvastatin, mục 11.2 Các tương tác khác: ""Nước ép Bưởi chùm chứa thành phần ức chế CYP3A4, có thể làm tăng nồng độ các thuốc chuyển hoá qua CYP3A4"" (trungtamthuoc.com/hoat-chat/simvastatin)",to_verify
