id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,is_estimated
1,Gạo tẻ (sống),gạo trắng,ngũ cốc,347,8.1,75.7,1.3,0.7,,5,202,108,,,,,,,NIN,NIN Bảng TPTP VN (mã 1003),FALSE
2,Cơm tẻ,cơm trắng,ngũ cốc,133.46,3.12,29.12,0.5,0.27,,1.92,77.69,41.54,,,109,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Jasmine rice long grain; glucose=100, n=12",,estimated,Cơm chín ước tính từ gạo tẻ sống (NIN 1003) × 1/2.6 (hệ số nở khi nấu),TRUE
3,Gạo lứt,gạo nâu,ngũ cốc,359,7.5,76.18,2.68,3.4,,5,202,246,,,65,Atkinson2021,"Atkinson FS et al. 2021, Am J Clin Nutr 114:1625-1632, tr.1629 — trung bình brown rice = 65; glucose=100",,NIN,NIN Bảng TPTP VN (mã 1005),FALSE
4,Bún tươi,,ngũ cốc,110,2.0,25.0,0.2,0.5,,5,10,30,,,40,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Rice noodles, fresh; glucose=100, n=12",,estimated,"Ước tính bún gạo tươi (tham chiếu USDA 'Rice noodles, cooked')",TRUE
5,Bánh phở tươi,,ngũ cốc,110,2.0,25.0,0.2,0.5,,5,10,30,,,40,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Rice noodles, fresh; glucose=100, n=12",,estimated,"Ước tính bánh phở gạo tươi (tham chiếu USDA 'Rice noodles, cooked')",TRUE
6,Miến dong,,ngũ cốc,338,0.6,83.7,0.1,1.5,,10,10,120,,,39,estimated,Ước tính từ Chan HMS et al. 2001 (Mung bean noodles GI 39),,NIN,"Bảng TPTP VN 2017, mã 02015, tr.32; Na/K bổ sung từ USDA FDC fdcId:174258 (cellophane noodles, dehydrated)",FALSE
7,Bánh mì,,ngũ cốc,267,9.43,49.2,3.59,2.3,5.34,450,117,113,,,59,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#235-236) — White bread, UK/USA 2006-2011, GI 59-60; glucose=100",gluten,USDA,"USDA FDC (FNDDS/WWEIA Survey Foods) fdcId:2707598, foodCode 51101000, ""Bread, white""",FALSE
8,Mì ăn liền,mì tôm,ngũ cốc,,,,,,,,,,,,,,,gluten,,,FALSE
9,Bánh cuốn,,ngũ cốc,,,,,,,,,,,,,,,,,,FALSE
10,Xôi trắng,,ngũ cốc,183.16,4.53,39.53,0.79,0.32,,1.58,148.42,51.58,,,94,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Glutinous rice; glucose=100, n=12",,estimated,Xôi ước tính từ gạo nếp sống (NIN 1001) × 1/1.9 (nở ít hơn cơm),TRUE
11,Khoai lang,,ngũ cốc,124,0.8,29.8,0.2,1.3,,31,210,49.4,17.0,"USDA/ODS-NIH Purine DB R2.0 (2025) — Sweet potato, raw [Japan]. Khoai lang. Đo trên mẫu Nhật Bản.",77,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 — Sweet potato (kumara), cooking method NS, New Zealand 2000, GI 77±12; glucose=100",,NIN,NIN Bảng TPTP VN (mã 2008),FALSE
12,Khoai tây,,ngũ cốc,96,2,21.93,0.07,1,,7,396,50,6.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Potato, raw [Japan]. Khoai tây. Đo trên mẫu Nhật Bản.",73,Atkinson2021,"Atkinson FS et al. 2021, Am J Clin Nutr 114:1625-1632, tr.1628 — boiled potatoes = 73; glucose=100",,NIN,NIN Bảng TPTP VN (mã 2014),FALSE
13,Khoai môn,,ngũ cốc,113,1.5,26.4,0.2,1.2,,11,591,44,1.8,USDA/ODS-NIH Purine DB R2.0 (2025) — Taro [Japan]. Khoai môn/khoai sọ. Đo trên mẫu Nhật Bản.,,,,,NIN,"Bảng TPTP VN 2017, mã 02010, tr.30; Na/K bổ sung từ USDA FDC fdcId:169308 (Taro, raw)",FALSE
14,Sắn luộc,khoai mì|khoai mì luộc,ngũ cốc,,,,,,,,,,,,,,,,,,FALSE
15,Ngô luộc,bắp|bắp luộc,ngũ cốc,172,3.9,34.1,2.2,1.2,,1,218,146,,,52,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#558-559) — Sweet corn, cooked, trung bình (51 AUS / 55 CHN); glucose=100",,NIN,"Bảng TPTP VN 2017, mã 01023, tr.26 (tên: Ngô nếp luộc); Na/K bổ sung từ USDA FDC fdcId:169999 (corn, boiled, without salt)",FALSE
16,Bột mì,,ngũ cốc,347,11,73.2,1.1,0.3,,4,186,132,,,,,,gluten,NIN,NIN Bảng TPTP VN (mã 1018),FALSE
17,Yến mạch,,ngũ cốc,389,16.89,66.27,6.9,10.6,,2,429,523,,,55,Atkinson2021,"Atkinson FS et al. 2021, Am J Clin Nutr 114:1625-1632, tr.1629 — sản phẩm yến mạch/oat flakes trung bình 55; glucose=100",gluten,USDA,"Khớp chéo ngôn ngữ (không phải khớp trực tiếp) — USDA FoodData Central 'Oats (Includes foods for USDA's Food Distribution Program)' (fdcId:169705), lý do khớp: yến mạch = oats, khớp trực tiếp. CẦN R2 xác nhận độ phù hợp trước khi dùng cho bệnh nhân.",TRUE
18,Cháo trắng,,ngũ cốc,49.57,1.16,10.81,0.19,0.1,,0.71,28.86,15.43,,,,,,,estimated,Cháo trắng ước tính từ gạo tẻ sống (NIN 1003) × 1/7 (loãng),TRUE
19,Thịt lợn nạc,thịt heo nạc,thịt,139,19,0,7,0,,76,341,190,237.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Pork loin, boneless, skinless, raw [USA]",,,,,NIN,NIN Bảng TPTP VN (mã 7017),FALSE
20,Thịt lợn ba chỉ,thịt heo ba rọi|thịt heo ba chỉ,thịt,518,9.34,0,53.01,0,,32,185,108,,,,,,,USDA,"Khớp chéo ngôn ngữ (không phải khớp trực tiếp) — USDA FoodData Central 'Pork, fresh, belly, raw' (fdcId:167812), lý do khớp: ba chỉ = pork belly, khớp trực tiếp. CẦN R2 xác nhận độ phù hợp trước khi dùng cho bệnh nhân.",TRUE
21,Thịt bò thăn,,thịt,118,21,0,3.8,0,,83,378,226,156.6,"USDA/ODS-NIH Purine DB R2.0 (2025) — Beef chuck roast, boneless, choice, raw [USA]",,,,,NIN,NIN Bảng TPTP VN (mã 7003),FALSE
22,Thịt bò bắp,,thịt,122,21.75,0,3.85,0,,63,387,204,106.4,"USDA/ODS-NIH Purine DB R2.0 (2025) — Beef shin, raw [Japan]. Thịt bò bắp (phần bắp/ống chân) — 'shin' là phần thịt tương đương trong butchery Anh. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 7094),FALSE
23,"Thịt gà (ức, bỏ da)",,thịt,,,,,,,,,,174.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Chicken breast, raw [USA]",,,,,,,FALSE
24,"Thịt gà (đùi, có da)",,thịt,221,16.52,0.25,16.61,0,,81,204,157,,,,,,,USDA,"Khớp chéo ngôn ngữ (không phải khớp trực tiếp) — USDA FoodData Central 'Chicken, broilers or fryers, thigh, meat and skin, raw' (fdcId:172385), lý do khớp: đùi gà có da = chicken thigh, meat and skin, khớp trực tiếp cả bộ phận lẫn trạng thái da. CẦN R2 xác nhận độ phù hợp trước khi dùng cho bệnh nhân.",TRUE
25,Thịt vịt,,thịt,267,17.8,0,21.8,0,,63,209,145,,,,,,,NIN,NIN Bảng TPTP VN (mã 7028),FALSE
26,Gan lợn,gan heo,thịt,116,18.8,2,3.6,0,,110,447,353,289,"USDA/ODS-NIH Purine DB R2.0 (2025) — Pork, liver, raw [USA]",,,,,NIN,NIN Bảng TPTP VN (mã 7041),FALSE
27,Lòng lợn,lòng heo,thịt,231,12.4,0.0,20.2,0.0,,325,14,65,,,,,,,estimated,"USDA FDC (FNDDS/WWEIA Survey Foods) fdcId:2706163, foodCode 25170210, ""Chitterlings"" — lòng lợn kiểu chế biến phương Tây (thường chiên/nấu nhiều mỡ), KHÔNG phải lòng luộc kiểu Việt — dùng tạm làm proxy, chất béo có thể cao hơn thực tế món luộc",TRUE
28,Tim lợn,tim heo,thịt,94,15.1,1.2,3.2,0,,56,294,213,119.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Pork heart, raw [Japan]. Tim lợn. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 7057),FALSE
29,Giò lụa,chả lụa,thịt,,,,,,,,,,,,,,,,,,FALSE
30,Chả quế,,thịt,,,,,,,,,,,,,,,,,,FALSE
31,Nem chua,,thịt,125,20.7,3.2,3.3,0,,476,194,78,,,,,,,NIN,NIN Bảng TPTP VN (mã 7073),FALSE
32,Xúc xích,,thịt,535,27.2,0,47.4,0,,287,219,139,49.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Frankfurter [Japan]. Xúc xích — PROXY, dao động RỘNG tuỳ loại/thành phần: 49.9 (Nhật) đến 114.9-169.5 (Bắc Mỹ, bò/thịt hỗn hợp). Dùng giá trị thấp nhất tìm được, KHÔNG đại diện mọi loại xúc xích.",,,,,NIN,NIN Bảng TPTP VN (mã 7077),FALSE
33,Trứng gà,,trứng,150,12.96,1.25,10.33,0,0.77,158,176,210,0.0,"USDA/ODS-NIH Purine DB R2.0 (2025) — Egg, chicken, raw [Japan]. Trứng gà nguyên quả. Đo trên mẫu Nhật Bản.",,,,trứng,NIN,NIN Bảng TPTP VN (mã 9001),FALSE
34,Trứng vịt,,trứng,172,13.02,2.94,12.02,0,0.93,191,258,210,,,,,,trứng,NIN,NIN Bảng TPTP VN (mã 9004),FALSE
35,Trứng vịt lộn,,trứng,182,13.6,4,12.4,0,,94,131,212,,,,,,trứng,NIN,NIN Bảng TPTP VN (mã 9010),FALSE
