id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,is_estimated
2000,"Gạo nếp cái Glutinous raw rice, milled,",,,348,8.6,75.1,1.5,0.6,,3,282,98,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01001, tr.24",FALSE
2001,"Gạo (loại nếp thường) Glutinous raw rice, milled,",,,350,8.4,75.4,1.6,0.5,,3,282,130,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01002, tr.24",FALSE
2002,"Gạo tẻ máy Ordinary raw polished rice,",,,346,7.9,76.3,1,0.4,,5,241,104,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01004, tr.24",FALSE
2003,"Kê Foxtail millet, raw",,,345,7,72.4,3,3.4,,7,249,290,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01006, tr.24",FALSE
2004,"Ngô bắp tươi Corn seeds, fresh, raw",,,200,4.1,40.8,2.3,1.2,,3,306,187,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01007, tr.24",FALSE
2005,"Ngô hạt khô vàng Yellow corn seed, dried",,,362,8.6,71.4,4.7,2,,35,287,190,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01008, tr.24",FALSE
2006,Bỏng ngô Corn flakes,,,386,8.6,84.2,1.6,3.4,,346,609,47,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01015, tr.26",FALSE
2007,Bột gạo nếp Glutinous rice flour,,,365,8.2,79.4,1.6,0.6,,3,293,148,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01016, tr.26",FALSE
2008,Bột gạo tẻ Rice flour,,,360,6.6,82.6,0.4,0.4,,0,76,135,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01017, tr.26",FALSE
2009,Bột ngô vàng Yellow maize flour,,,367,8.3,74.5,4,1.5,,5,315,170,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01019, tr.26",FALSE
2010,"Củ cái Winged yam yam, purple",,,134,3.1,30.18,0.12,1.8,,12,397,32,,,,,,,NIN,"Bảng TPTP VN 2017, mã 02002, tr.30",FALSE
2011,"Củ sắn Cassava, manioc, raw",,,158,1.1,37.9,0.2,1.5,,2,394,30,,,,,,,NIN,"Bảng TPTP VN 2017, mã 02004, tr.30",FALSE
2012,"Khoai lang nghệ Sweet raw potato, yellow,",,,119,1.2,27.9,0.3,0.8,,350,107,56,,,,,,,NIN,"Bảng TPTP VN 2017, mã 02009, tr.30",FALSE
2013,"Khoai sọ Taro tuber, raw",,,119,1.8,27.7,0.1,1.2,,10,448,75,,,,,,,NIN,"Bảng TPTP VN 2017, mã 02013, tr.30",FALSE
2014,"Khoai lang khô Sweet potato, dried",,,348,2.2,83.6,0.5,3.6,,86,584,137,,,,,,,NIN,"Bảng TPTP VN 2017, mã 02022, tr.32",FALSE
