id,name_vi,reason,detail
1105900,Bánh bao nhân thịt,khong khop du nguong,"en='Filled steam bread' gan nhat='Coffee cake, crumb or quick-bread type, cheese-filled' score=0.40"
1105901,Bánh đa nem,khong khop du nguong,"en='Vietnamese rice paper, raw' gan nhat='Rice paper' score=0.65"
1105902,Bánh đúc,khong khop du nguong,"en='Rice cake made of rice flour, and lime water, cooked' gan nhat='Pastry, Chinese, made with rice flour' score=0.45"
1105905,Bánh quẩy,khong khop du nguong,"en='Fried breadstick, Youtiao' gan nhat='Fried broccoli' score=0.33"
1105906,Bún,khong khop du nguong,"en='Rice vermicelli, soft noodles' gan nhat='Rice noodles, cooked' score=0.50"
1105907,Cốm,khong khop du nguong,"en='Rice, unriped, raw' gan nhat='Rice paper' score=0.46"
1105908,Mỳ sợi,khong khop du nguong,"en='Wheat noodles, raw' gan nhat='Wheat germ' score=0.45"
1105909,Ngô nếp luộc,khong khop du nguong,"en='Glutinous maize, boiled' gan nhat='Cake made with glutinous rice' score=0.37"
1105910,Củ ấu,khong khop du nguong,"en='Water caltrop, buffalo nut, seed, raw' gan nhat='Game meat, buffalo, water, raw' score=0.39"
1105913,Củ sắn dây,khong khop du nguong,"en='Kudzu root, Japanese arrowroot' gan nhat='Persimmons, japanese, raw' score=0.29"
1105914,Củ súng khô (đã bỏ vỏ),khong khop du nguong,"en='Tropical water lilies root, dried' gan nhat='Cranberries, dried' score=0.25"
1105915,Củ từ,khong khop du nguong,"en='Lesser Yam, raw' gan nhat='Yam, raw' score=0.53"
1105916,Khoai nước,khong khop du nguong,"en='Water taro, raw' gan nhat='Taro, raw' score=0.55"
1105917,Khoai riềng,khong khop du nguong,"en='Edible canna, raw' gan nhat='Peas, edible-podded, raw' score=0.42"
1105919,Bột khoai lang,khong khop du nguong,"en='Flour sweet potato' gan nhat='Flour, potato' score=0.69"
1105920,Bột khoai riềng (bột đao),khong khop du nguong,en='Edible canna flour' gan nhat='Millet flour' score=0.35
1105921,Bột khoai tây (lọc),khong khop du nguong,en='White potato flour' gan nhat='Potato flour' score=0.69
1105923,Bột sắn dây,khong khop du nguong,en='Kudzu root flour' gan nhat='Arrowroot flour' score=0.36
1105924,Sắn khô,khong khop du nguong,"en='Cassava, dried' gan nhat='Papaya, dried' score=0.48"
1105925,Trân châu sắn,khong khop du nguong,"en='Tapioca' gan nhat='Tapioca, pearl, dry' score=0.65"
1105926,Đậu cô ve (hạt),khong khop du nguong,"en='Common bean, seed, dried' gan nhat='Seeds, safflower seed kernels, dried' score=0.41"
1105927,Đậu đen (hạt),khong khop du nguong,"en='Black bean seed, dried' gan nhat='Nuts, walnuts, black, dried' score=0.43"
1105928,Đậu đũa (hạt),khong khop du nguong,"en='Yardlong bean, seed, dried' gan nhat='Seeds, watermelon seed kernels, dried' score=0.42"
1105931,Đậu trắng hạt (Đậu Tây),khong khop du nguong,"en='Kidney bean, white bean, seed, dried' gan nhat='Kidney beans and white rice' score=0.41"
1105932,Đậu trứng cuốc,NIN khong co name_en,
1105934,Hạt dẻ tươi,khong khop du nguong,"en='Chestnut, fresh' gan nhat='Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough' score=0.00"
1105935,Hạt dẻ khô,khong khop du nguong,"en='Chestnut, dried' gan nhat='Cherries, dried' score=0.48"
1105936,Hạt đen,NIN khong co name_en,
1105937,Hạt mít,khong khop du nguong,"en='Jack fruit, seed, raw' gan nhat='Fruit, NFS' score=0.37"
1105938,Quả đại hái tươi,khong khop du nguong,"en='Hodgsonia fruit, raw' gan nhat='Fruit, NFS' score=0.49"
1105941,Bột đậu tương rang chín,khong khop du nguong,"en='Roasted soybeans flour' gan nhat='Soy flour, full-fat, roasted' score=0.46"
1105942,Đậu phụ chúc,khong khop du nguong,"en='Tofu skin, yuba, bean curd skin, bean curd sheet' gan nhat='Turkey, wing, cooked, skin eaten' score=0.20"
1105943,Đậu phụ nướng,khong khop du nguong,"en='Tofu, grilled' gan nhat='Tofu, fried' score=0.50"
1105944,Hạt dưa đỏ rang (dưa hấu),khong khop du nguong,"en='Water melon seeds, fried' gan nhat='Soybeans, mature seeds, sprouted, cooked, stir-fried' score=0.47"
1105945,"Hạt điều khô, chiên dầu",khong khop du nguong,"en='Cashew nut, roasted with oil' gan nhat='Nuts, cashew nuts, oil roasted, with salt added' score=0.61"
1105946,Sữa bột đậu nành,khong khop du nguong,"en='Soy flour, made from roasted soybeans' gan nhat='Soy flour, full-fat, roasted' score=0.48"
1105948,Bí đao (bí xanh),khong khop du nguong,"en='Asgourd, winter melon, raw' gan nhat='Honeydew melon, raw' score=0.36"
