category,serving_g,note,source
noodle_soup_bowl,500,Bát phở/bún nước cỡ thường (dải 400–600g),"Tổng hợp: chuẩn nhà hàng VN + nguồn dinh dưỡng Mỹ (myfooddata, healthline). USDA tham chiếu 244g/'cup', bản thương mại 168g — 500g là trị hay dùng nhất cho 1 bát ăn thực tế"
rice_bowl_cooked,150,1 bát cơm chín cỡ thường (dải 100–200g),Chuẩn khẩu phần thông dụng VN; đối chiếu FAO Vietnam FBDG (đơn vị ngũ cốc)
rice_congee_bowl,300,"1 bát cháo (loãng, khối lượng lớn hơn cơm)",Ước tính từ tỉ lệ nước cháo ~1:7
main_dish_meat_fish,100,1 khẩu phần thịt/cá trong bữa (dải 80–120g),USDA MyPlate protein ~85–113g; NIN khuyến nghị ~100g
vegetable_side,100,1 khẩu phần rau (dải 80–150g),FAO Vietnam 'standard serving' rau ~80g; làm tròn 100g
wweia_1002,61.0,"Milk, whole","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 34 ban ghi khau phan that, nhom 'Milk, whole' (ma WWEIA 1002). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1004,61.0,"Milk, reduced fat","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 21 ban ghi khau phan that, nhom 'Milk, reduced fat' (ma WWEIA 1004). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1006,152.5,"Milk, lowfat","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 14 ban ghi khau phan that, nhom 'Milk, lowfat' (ma WWEIA 1006). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1008,61.0,"Milk, nonfat","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 21 ban ghi khau phan that, nhom 'Milk, nonfat' (ma WWEIA 1008). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1202,248.0,"Flavored milk, whole","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 14 ban ghi khau phan that, nhom 'Flavored milk, whole' (ma WWEIA 1202). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1204,248.0,"Flavored milk, reduced fat","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 43 ban ghi khau phan that, nhom 'Flavored milk, reduced fat' (ma WWEIA 1204). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1206,248.0,"Flavored milk, lowfat","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 26 ban ghi khau phan that, nhom 'Flavored milk, lowfat' (ma WWEIA 1206). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1208,248.0,"Flavored milk, nonfat","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 34 ban ghi khau phan that, nhom 'Flavored milk, nonfat' (ma WWEIA 1208). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_1402,248.0,Milk shakes and other dairy drinks,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 49 ban ghi khau phan that, nhom 'Milk shakes and other dairy drinks' (ma WWEIA 1402). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
