fdc_id,total_sugar_g,added_sugar_g
167516,4.3,
167517,4.41,
167518,4.5,
167519,5.04,
167520,18.13,
167521,26.31,
167522,22.02,
167524,13.1,
167526,24.9,
167527,18.1,
167528,17.0,
167529,2.35,
167530,9.37,
167531,10.41,
167532,5.0,
167533,6.12,
167534,22.05,
167535,2.66,
167536,9.0,
167537,0.27,
167540,57.58,
167541,49.16,
167542,28.57,
167546,62.68,
167547,23.74,
167549,0.46,
167550,0.72,
167551,45.36,
167552,53.19,
167553,0.63,
167555,2.21,
167556,38.8,
167558,0.78,
167559,2.59,
167560,3.03,
167562,48.34,
167564,48.0,
167565,45.9,
167566,56.32,
167569,62.36,
167570,38.3,
167571,59.0,
167572,22.12,
167573,20.65,
167574,22.78,
167575,21.22,
167576,18.69,
167577,24.32,
167578,73.36,
167579,79.77,
167580,71.0,
167582,54.0,
167584,72.25,
167585,24.71,
167587,51.5,
167590,2.98,
167591,0.8,
167592,49.0,
167593,49.43,
167594,1.03,
167595,0.83,
167596,0.86,
167597,8.36,
167598,11.3,
167599,9.81,
167600,4.2,
167601,4.06,
167604,0.91,
167605,1.16,
167606,12.9,
167607,0.0,
167627,0.19,
167628,1.81,
167629,3.36,
167636,0.99,
167637,0.51,
167638,0.0,
167639,0.0,
167640,6.46,
167641,0.0,
167642,0.0,
167643,0.0,
167644,0.0,
167645,0.0,
167646,0.0,
167647,0.0,
167648,0.0,
167652,0.0,
167654,0.0,
167655,1.54,
167656,1.79,
167657,1.84,
167658,2.39,
167659,0.55,
167660,1.84,
167661,1.3,
167662,1.2,
167663,1.45,
167664,7.42,
167665,1.3,
167666,0.78,
167668,0.56,
167669,0.86,
167671,2.83,
167672,0.85,
167674,8.18,
167675,11.6,
167676,3.03,
167677,2.63,
167678,2.93,
167679,13.6,
167680,1.82,
167681,0.0,
167682,0.0,
167683,8.52,
167684,5.65,
167685,0.0,
167686,37.7,
167687,23.6,
167688,73.4,
167689,47.15,
167690,12.02,
167691,0.0,
167692,3.6,
167693,25.92,
167694,0.0,
167695,0.85,
167696,0.85,
167697,5.3,
167698,0.0,
167699,7.44,
167700,10.3,
167701,57.81,
167702,0.0,
167703,2.6,
167704,2.0,
167705,0.85,
167706,29.41,
167707,0.0,
167708,3.28,
167709,0.0,
167710,0.0,
167711,8.68,
167712,0.0,
167713,0.0,
167714,17.16,
167716,3.0,
167717,1.6,
167718,7.28,
167719,0.0,
167720,1.18,
167721,20.61,
167722,1.24,
167723,0.0,
167724,0.55,
167725,22.0,
167726,11.74,
167727,8.33,
167728,3.22,
167729,10.5,
167730,5.3,
167731,1.35,
167732,11.36,
167733,14.66,
167734,35.1,
167735,1.23,
167736,0.3,
167737,0.0,
167738,37.75,
167739,24.53,
167740,0.7,
167741,2.9,
167742,0.0,
167743,73.2,
167744,0.0,
167745,0.0,
167746,2.5,
167747,2.52,
167748,1.53,
167749,4.17,
167751,24.98,
167753,16.45,
167755,4.42,
167756,20.06,
167757,21.76,
