food_id,name_vi,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,source_ref,usda_name,note
38,Cá rô phi,96.0,20.1,0.0,1.7,0.0,0.0,52.0,302,170,USDA FDC fdcId:175176,"Fish, tilapia, raw",
52,Ngao,86.0,14.7,3.57,0.96,0.0,0.0,601,46.0,198,USDA FDC fdcId:174214,"Mollusks, clam, mixed species, raw",
59,Đậu đen,341,21.6,62.4,1.42,15.5,2.12,5.0,1480.0,352,USDA FDC fdcId:173734,"Beans, black, mature seeds, raw",
60,Đậu đỏ,329,19.9,62.9,0.53,12.7,,5.0,1250.0,381,USDA FDC fdcId:173727,"Beans, adzuki, mature seeds, raw",
85,Cà chua,18.0,0.88,3.89,0.2,1.2,2.63,5.0,237,24.0,USDA FDC fdcId:170457,"Tomatoes, red, ripe, raw, year round average",
88,Su hào,27.0,1.7,6.2,0.1,3.6,2.6,20.0,350,46.0,USDA FDC fdcId:168424,"Kohlrabi, raw",
89,Su su,19.0,0.82,4.51,0.13,1.7,1.66,2.0,125,18.0,USDA FDC fdcId:170402,"Chayote, fruit, raw",
94,Mướp đắng,17.0,1.0,3.7,0.17,2.8,,5.0,296,31.0,USDA FDC fdcId:168393,"Balsam-pear (bitter gourd), pods, raw",
97,Đậu bắp,33.0,1.93,7.45,0.19,3.2,1.48,7.0,299,61.0,USDA FDC fdcId:169260,"Okra, raw",
98,Cà tím,25.0,0.98,5.88,0.18,3.0,3.53,2.0,229,24.0,USDA FDC fdcId:169228,"Eggplant, raw",
67,Rau dền,23.0,2.46,4.02,0.33,0,,20.0,611,50.0,USDA FDC fdcId:168385,"Amaranth leaves, raw",
76,Xà lách,15.0,1.36,2.87,0.15,1.3,0.78,28.0,194,29.0,USDA FDC fdcId:169249,"Lettuce, green leaf, raw",
113,Nhãn,60.0,1.31,15.1,0.1,1.1,,0.0,266,21.0,USDA FDC fdcId:169089,"Longans, raw",
129,Dầu ăn thực vật,884,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,USDA FDC fdcId:171411,"Oil, soybean, salad or cooking",
130,Mỡ lợn,902,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,USDA FDC fdcId:171401,Lard,
132,Lạc rang,587,24.4,21.3,49.7,8.4,4.9,410,634,363,USDA FDC fdcId:174262,"Peanuts, all types, dry-roasted, with salt",USDA dạng rang CÓ muối (Na cao); lạc rang VN thường nhạt
149,Đường trắng,385,0.0,99.6,0.32,0,,1.0,2.0,0.0,USDA FDC fdcId:746784,"Sugars, granulated",
100,Nấm rơm,32.0,3.83,4.64,0.68,2.5,,384,78.0,61.0,USDA FDC fdcId:168582,"Mushrooms, straw, canned, drained solids",USDA nấm rơm ĐÓNG HỘP
104,Cam sành,47.0,0.94,11.8,0.12,2.4,9.35,0.0,181,14.0,USDA FDC fdcId:169097,"Oranges, raw, all commercial varieties",
105,Quýt,53.0,0.81,13.3,0.31,1.8,10.6,2.0,166,20.0,USDA FDC fdcId:169105,"Tangerines, (mandarin oranges), raw",
106,Bưởi,38.0,0.76,9.62,0.04,1.0,,1.0,216,17.0,USDA FDC fdcId:167754,"Pummelo, raw",
123,Sữa tươi không đường,60.0,3.27,4.63,3.2,0,,38.0,150,101,USDA FDC fdcId:746782,"Milk, whole, 3.25% milkfat, with added vitamin D",Sữa tươi nguyên kem 3.25%
131,Bơ động vật,717,0.85,0.06,81.1,0.0,0.06,643,24.0,24.0,USDA FDC fdcId:173410,"Butter, salted",
