id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,thai_bo_pct,is_estimated
1,Gạo tẻ (sống),gạo trắng,ngũ cốc,347,8.1,75.7,1.3,0.7,0.12,5,202,108,32.6,"USDA/ODS-NIH Purine DB R2.0 (2025) — Rice, white, raw. Gạo tẻ (sống). Mức tin cậy: khớp trực tiếp.",,,,,NIN,"NIN Bảng TPTP VN (mã 1003) | sugar_g = 0.12 g/100 g tra chéo từ USDA FoodData Central fdcId:168877 'Rice, white, long-grain, regular, raw, enriched' [R2 CHỐT 2026-08-18 (DAT-28): chỉ bổ sung cột đường, các chỉ số khác giữ nguyên nguồn gốc. Ánh xạ được XÁC MINH bằng đối chiếu mô tả USDA trả về, không đoán fdcId — bản đầu của scripts/tra_sugar_g_usda.py hardcode id theo trí nhớ và sai 4/8 dòng (rau muống ra Asparagus, bí xanh ra Cucumber), nên nay bắt buộc tìm-rồi-đối-chiếu. ⚠️ Hạn chế đã biết: carb_g của dòng này từ bảng NIN còn sugar_g từ USDA — hai bảng đo giống/điều kiện khác nhau nên tỷ lệ đường/carb có thể lệch so với tỷ lệ nội bộ của USDA. Ràng buộc sugar_g <= carb_g vẫn được validate_data.py kiểm.]",0,FALSE
2,Cơm tẻ,cơm trắng,ngũ cốc,133.46,3.12,29.12,0.5,0.27,,1.92,77.69,41.54,5.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Rice, white, cooked. Cơm tẻ. Mức tin cậy: khớp trực tiếp.",109,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Jasmine rice long grain; glucose=100, n=12",,estimated,Cơm chín ước tính từ gạo tẻ sống (NIN 1003) × 1/2.6 (hệ số nở khi nấu),,TRUE
3,Gạo lứt,gạo nâu,ngũ cốc,359,7.5,76.18,2.68,3.4,,5,202,246,,,65,Atkinson2021,"Atkinson FS et al. 2021, Am J Clin Nutr 114:1625-1632, tr.1629 — trung bình brown rice = 65; glucose=100",,NIN,NIN Bảng TPTP VN (mã 1005),0,FALSE
4,Bún tươi,,ngũ cốc,110,2.0,25.0,0.2,0.5,0.03,5,10,30,5.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Rice, white, cooked. Bún tươi. Mức tin cậy: thay thế gần. bún tươi = sợi gạo đã hồ hoá, cùng nền gạo chín.",40,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Rice noodles, fresh; glucose=100, n=12",,estimated,"Ước tính bún gạo tươi (tham chiếu USDA 'Rice noodles, cooked'); sugar_g tra chéo từ USDA FDC fdcId:168914 'Rice noodles, cooked' (khớp loài/dạng chế biến, số liệu chính vẫn từ nguồn gốc estimated)",,TRUE
5,Bánh phở tươi,,ngũ cốc,110,2.0,25.0,0.2,0.5,0.03,5,10,30,5.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Rice, white, cooked. Bánh phở tươi. Mức tin cậy: thay thế gần. bánh phở tươi = sợi gạo đã hồ hoá, cùng nền gạo chín.",40,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Rice noodles, fresh; glucose=100, n=12",,estimated,"Ước tính bánh phở gạo tươi (tham chiếu USDA 'Rice noodles, cooked'); sugar_g tra chéo từ USDA FDC fdcId:168914 'Rice noodles, cooked' (khớp loài/dạng chế biến, số liệu chính vẫn từ nguồn gốc estimated)",,TRUE
6,Miến dong,,ngũ cốc,338,0.6,83.7,0.1,1.5,0,10,10,120,0.6,"USDA/ODS-NIH Purine DB R2.0 (2025) — Gelatin noodle (dried). Miến dong. Mức tin cậy: khớp trực tiếp. miến dong = miến sợi tinh bột, đúng loại.",39,estimated,Ước tính từ Chan HMS et al. 2001 (Mung bean noodles GI 39),,NIN,"Bảng TPTP VN 2017, mã 02015, tr.32; Na/K bổ sung từ USDA FDC fdcId:174258 (cellophane noodles, dehydrated); sugar_g tra chéo từ USDA FDC fdcId:174258 'Noodles, chinese, cellophane or long rice (mung beans), dehydrated' (khớp loài/dạng chế biến, số liệu chính vẫn từ nguồn gốc NIN)",0,FALSE
7,Bánh mì,,ngũ cốc,267,9.43,49.2,3.59,2.3,5.34,450,117,113,12.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Bread, white. Bánh mì. Mức tin cậy: khớp trực tiếp.",59,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#235-236) — White bread, UK/USA 2006-2011, GI 59-60; glucose=100",gluten,USDA,"USDA FDC (FNDDS/WWEIA Survey Foods) fdcId:2707598, foodCode 51101000, ""Bread, white""",,FALSE
10,Xôi trắng,,ngũ cốc,183.16,4.53,39.53,0.79,0.32,,1.58,148.42,51.58,5.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Rice, white, cooked. Xôi trắng. Mức tin cậy: thay thế gần. xôi = gạo nếp đồ chín; bảng chỉ có gạo tẻ chín.",94,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Glutinous rice; glucose=100, n=12",,estimated,Xôi ước tính từ gạo nếp sống (NIN 1001) × 1/1.9 (nở ít hơn cơm),,TRUE
11,Khoai lang,,ngũ cốc,124,0.8,29.8,0.2,1.3,4.18,31,210,49.4,17.0,"USDA/ODS-NIH Purine DB R2.0 (2025) — Sweet potato, raw [Japan]. Khoai lang. Đo trên mẫu Nhật Bản.",77,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 — Sweet potato (kumara), cooking method NS, New Zealand 2000, GI 77±12; glucose=100",,NIN,"NIN Bảng TPTP VN (mã 2008) | sugar_g = 4.18 g/100 g tra chéo từ USDA FoodData Central fdcId:168482 'Sweet potato, raw, unprepared' [R2 CHỐT 2026-08-18 (DAT-28): chỉ bổ sung cột đường, các chỉ số khác giữ nguyên nguồn gốc. Ánh xạ được XÁC MINH bằng đối chiếu mô tả USDA trả về, không đoán fdcId — bản đầu của scripts/tra_sugar_g_usda.py hardcode id theo trí nhớ và sai 4/8 dòng (rau muống ra Asparagus, bí xanh ra Cucumber), nên nay bắt buộc tìm-rồi-đối-chiếu. ⚠️ Hạn chế đã biết: carb_g của dòng này từ bảng NIN còn sugar_g từ USDA — hai bảng đo giống/điều kiện khác nhau nên tỷ lệ đường/carb có thể lệch so với tỷ lệ nội bộ của USDA. Ràng buộc sugar_g <= carb_g vẫn được validate_data.py kiểm.]",17,FALSE
12,Khoai tây,,ngũ cốc,96,2,21.93,0.07,1,,7,396,50,6.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Potato, raw [Japan]. Khoai tây. Đo trên mẫu Nhật Bản.",73,Atkinson2021,"Atkinson FS et al. 2021, Am J Clin Nutr 114:1625-1632, tr.1628 — boiled potatoes = 73; glucose=100",,NIN,NIN Bảng TPTP VN (mã 2014),13,FALSE
13,Khoai môn,,ngũ cốc,113,1.5,26.4,0.2,1.2,0.4,11,591,44,1.8,USDA/ODS-NIH Purine DB R2.0 (2025) — Taro [Japan]. Khoai môn/khoai sọ. Đo trên mẫu Nhật Bản.,,,,,NIN,"Bảng TPTP VN 2017, mã 02010, tr.30; Na/K bổ sung từ USDA FDC fdcId:169308 (Taro, raw) | sugar_g = 0.4 g/100 g tra chéo từ USDA FoodData Central fdcId:taro raw 'Taro, raw' [R2 CHỐT 2026-08-18 (DAT-28): chỉ bổ sung cột đường, nguồn của các chỉ số còn lại giữ nguyên như ghi ở trên. Ánh xạ do R2 đối chiếu tay từng dòng, không khớp tên tự động.]",14,FALSE
15,Ngô luộc,bắp|bắp luộc,ngũ cốc,172,3.9,34.1,2.2,1.2,,1,218,146,,,52,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#558-559) — Sweet corn, cooked, trung bình (51 AUS / 55 CHN); glucose=100",,NIN,"Bảng TPTP VN 2017, mã 01023, tr.26 (tên: Ngô nếp luộc); Na/K bổ sung từ USDA FDC fdcId:169999 (corn, boiled, without salt)",50,FALSE
16,Bột mì,,ngũ cốc,347,11,73.2,1.1,0.3,0.27,4,186,132,11.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Whole-grain wheat flour. Bột mì. Mức tin cậy: thay thế gần. bột mì TRẮNG, bảng chỉ có bột mì nguyên cám.",,,,gluten,NIN,"NIN Bảng TPTP VN (mã 1018); sugar_g tra chéo từ USDA FDC fdcId:169761 'Wheat flour, white, all-purpose, unenriched' (khớp loài/dạng chế biến, số liệu chính vẫn từ nguồn gốc NIN)",0,FALSE
17,Yến mạch,,ngũ cốc,389,16.89,66.27,6.9,10.6,,2,429,523,,,55,Atkinson2021,"Atkinson FS et al. 2021, Am J Clin Nutr 114:1625-1632, tr.1629 — sản phẩm yến mạch/oat flakes trung bình 55; glucose=100",gluten,USDA,"Khớp chéo ngôn ngữ (không phải khớp trực tiếp) — USDA FoodData Central 'Oats (Includes foods for USDA's Food Distribution Program)' (fdcId:169705), lý do khớp: yến mạch = oats, khớp trực tiếp. CẦN R2 xác nhận độ phù hợp trước khi dùng cho bệnh nhân.",,TRUE
18,Cháo trắng,,ngũ cốc,49.57,1.16,10.81,0.19,0.1,,0.71,28.86,15.43,5.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Rice, white, cooked. Cháo trắng. Mức tin cậy: thay thế gần. cháo loãng hơn cơm nên trị thật THẤP hơn; giữ mức cơm là ước lượng CAO, an toàn cho trần purine.",,,,,estimated,Cháo trắng ước tính từ gạo tẻ sống (NIN 1003) × 1/7 (loãng),,TRUE
19,Thịt lợn nạc,thịt heo nạc,thịt,139,19,0,7,0,0,76,341,190,237.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Pork loin, boneless, skinless, raw [USA]",,,,,NIN,"NIN Bảng TPTP VN (mã 7017); sugar_g tra chéo từ USDA FDC fdcId:168249 'Pork, loin, tenderloin, separable lean only, raw' (khớp loài/dạng chế biến, số liệu chính vẫn từ nguồn gốc NIN)",2,FALSE
20,Thịt lợn ba chỉ,thịt heo ba rọi|thịt heo ba chỉ,thịt,518,9.34,0,53.01,0,0,32,185,108,,,,,,,USDA,"Khớp chéo ngôn ngữ (không phải khớp trực tiếp) — USDA FoodData Central 'Pork, fresh, belly, raw' (fdcId:167812), lý do khớp: ba chỉ = pork belly, khớp trực tiếp. CẦN R2 xác nhận độ phù hợp trước khi dùng cho bệnh nhân.; thải bỏ 2% tra CHÉO từ NIN mã 7018 'Pork, medium fat'; sugar_g từ USDA FDC fdcId:167812 'Total Sugars'",2,TRUE
21,Thịt bò thăn,,thịt,118,21,0,3.8,0,0,83,378,226,156.6,"USDA/ODS-NIH Purine DB R2.0 (2025) — Beef chuck roast, boneless, choice, raw [USA]",,,,,NIN,"NIN Bảng TPTP VN (mã 7003); sugar_g tra chéo từ USDA FDC fdcId:173109 'Beef, New Zealand, imported, tenderloin, separable lean only, raw' (khớp loài/dạng chế biến, số liệu chính vẫn từ nguồn gốc NIN)",2,FALSE
22,Thịt bò bắp,,thịt,122,21.75,0,3.85,0,0,63,387,204,106.4,"USDA/ODS-NIH Purine DB R2.0 (2025) — Beef shin, raw [Japan]. Thịt bò bắp (phần bắp/ống chân) — 'shin' là phần thịt tương đương trong butchery Anh. Đo trên mẫu Nhật Bản.",,,,,NIN,"NIN Bảng TPTP VN (mã 7094) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",,FALSE
24,"Thịt gà (đùi, có da)",,thịt,221,16.52,0.25,16.61,0,0,81,204,157,141.7,"USDA/ODS-NIH Purine DB R2.0 (2025) — Chicken thigh, raw. Thịt gà (đùi, có da). Mức tin cậy: khớp trực tiếp.",,,,,USDA,"Khớp chéo ngôn ngữ (không phải khớp trực tiếp) — USDA FoodData Central 'Chicken, broilers or fryers, thigh, meat and skin, raw' (fdcId:172385), lý do khớp: đùi gà có da = chicken thigh, meat and skin, khớp trực tiếp cả bộ phận lẫn trạng thái da. CẦN R2 xác nhận độ phù hợp trước khi dùng cho bệnh nhân.; sugar_g từ USDA FDC fdcId:172385 'Total Sugars'",,TRUE
